label,jsonl_data
TiO2 content,"{'data': 'TiO 2, wt % , min. | 93 <header> <Property> | <R - 902 +> </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile Content | % | ≥ 98 <header> <Product Quality Index Features> <Items> | <Product Quality Index Features> <Units> | <Product Quality Index Features> <Index> </header>', 'label': [[17, 18, 'unit'], [23, 25, 'min']]}"
Density,"{'data': 'Density |', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Mass fraction of rutile, % , not less than | 97 | | 98 <header> <PHYSICAL AND CHEMICAL PROPERTIES:> <Characteristics> | <PHYSICAL AND CHEMICAL PROPERTIES:> <> | <PHYSICAL AND CHEMICAL PROPERTIES:> <Company standard> | <PHYSICAL AND CHEMICAL PROPERTIES:> <Actual indicators> </header>', 'label': [[0, 13, 'measuring_condition'], [25, 26, 'unit'], [45, 47, 'min']]}"
pH,"{'data': '水悬浮液PH值 | 6.5 - 8.5 | 6.5 - 8.5 | 8,1 <header> <产品牌号 R 838 > <产品批号 C 101208 > <检验项目> <检验项目> | <> <> <技术指标> <一等品> | <数 量 检验日期> <> <技术指标> <合格品> | < 800 * 25 kg> < 2010.11.30 > <检验结果> <合格品> </header>', 'label': [[10, 13, 'min'], [22, 25, 'min'], [16, 19, 'max'], [28, 31, 'max'], [34, 37, 'mean']]}"
header,"{'data': 'Indices and measuring units | Norm | Test method <header> <Indices and measuring units> | <Norm> | <Test method> </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 93 <header> <Property> | <R - 706 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
Inorganic surface treatment,"{'data': 'Alumina | yes <header> <Property> | <R - 902 +> </header>', 'label': []}"
Inorganic surface treatment,"{'data': 'Silica oxide in terms of SiO 2 | 1 %', 'label': [[33, 34, 'mean'], [35, 36, 'unit']]}"
Production Process,"{'data': 'Description: | TiONA® 826 is a high performance, multipurpose chloride - process rutile titanium dioxide pigment <label>', 'label': []}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | 1.4 <header> <Property> | <R - 902 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit'], [25, 28, 'mean']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | — <header> <Property> | <R - 900 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit']]}"
multi,"{'data': 'Chemical Element | Titanium Dioxide ( TiO 2 ) - Rutile Type', 'label': []}"
pH,"{'data': 'pH | 7.2 <header> <Property> | <R - 960 > </header>', 'label': [[5, 8, 'mean']]}"
Particle size,"{'data': 'Median Particle Size, µm | 0.50 <header> <Property> | <R - 960 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 Content , % ( m/m ) | 92 <header> <Characteristic> | <Requirements> </header>', 'label': [[16, 17, 'unit'], [20, 23, 'measuring_condition'], [28, 30, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption ( DIN EN ISO 787 - 5 ) * | 19 g/ 100 g pigment', 'label': [[17, 35, 'method'], [42, 44, 'mean'], [45, 53, 'unit'], [54, 61, 'measuring_condition']]}"
stray,"{'data': 'max | 0.5', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
pH,"{'data': 'pH | 7.9 <header> <Property> | <R - 902 +> </header>', 'label': [[5, 8, 'mean']]}"
pH,"{'data': 'pH | 7 - 8', 'label': [[5, 6, 'min'], [9, 10, 'max']]}"
Density,"{'data': '• | Specific gravity: | 4.1', 'label': [[24, 27, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | 94.0 %', 'label': [[16, 19, 'measuring_condition'], [24, 28, 'mean'], [29, 30, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption ( g/ 100 g ) max. | 26 | 19 <header> <Items> | <Specification> | <Typical Analysis> </header>', 'label': [[17, 25, 'unit'], [35, 37, 'max']]}"
TiO2 content,"{'data': 'Typical Properties | Composition - TiO 2 92.0 % | Composition - TiO 2 92.0 % | Composition - TiO 2 92.0 % <header> <Applications> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> | <Paint Interior and exterior Aqueous and non - aqueous Trade sales and maintenance coatings Exterior pastel rigid PVC siding> </header>', 'label': [[70, 74, 'mean'], [75, 76, 'unit'], [99, 103, 'mean'], [104, 105, 'unit'], [41, 45, 'mean'], [46, 47, 'unit']]}"
TiO2 content,"{'data': 'Titanium Dioxide, wt % , min. | 96', 'label': [[32, 34, 'min'], [21, 22, 'unit'], [18, 20, 'measuring_condition']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 3.3 <header> <Property> | <R - 960 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
TiO2 content,"{'data': '化学物质 | 二氧化钛 ( TiO 2 ) /金红石型 ( R型 ) | 二氧化钛 ( TiO 2 ) /金红石型 ( R型 )', 'label': []}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 4.3 | 4.3 | 2.5 | 3.3 | 6.4 | 3.6 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Dry Grades> | <Property> <R - 900 > | <Property> <R - 902 +> | <Property> <R - 706 > | <Property> <R - 960 > | <Property> <R - 931 > | <Property> <TS - 6200 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'density'], [16, 19, 'mean'], [22, 25, 'mean'], [28, 31, 'mean'], [34, 37, 'mean'], [40, 43, 'mean'], [46, 49, 'mean']]}"
Density,"{'data': 'Bulk Density | 1.3 kg/cm 3', 'label': [[0, 4, 'measuring_condition'], [15, 18, 'mean'], [19, 26, 'unit']]}"
Inorganic surface treatment,"{'data': 'Inorganic coating | Alumina, Zirconia, Silica <header> <TYPICAL PROPERTIES> <TiO 2 content> | <TYPICAL PROPERTIES> <≥ 94.0 % > </header>', 'label': []}"
Density,"{'data': 'Density ( ISO 787, Part 10 ) | Density ( ISO 787, Part 10 ) | 4.1 g/cm 3 <header> <Production rutile pigment produced by the sulfate process> <Surface treatment> | <Production rutile pigment produced by the sulfate process> <Surface treatment> | <Production rutile pigment produced by the sulfate process> <aluminium compounds> </header>', 'label': [[10, 26, 'method'], [41, 57, 'method'], [62, 65, 'mean'], [66, 72, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content | % | ≥ 93 <header> <Product Quality Index Features> <Items> | <Product Quality Index Features> <Units> | <Product Quality Index Features> <Index> </header>', 'label': [[16, 17, 'unit'], [22, 24, 'min']]}"
Density,"{'data': 'Density ( ISO 787, Part 10 ) | 4.1 g/cm 3 <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header>', 'label': [[10, 26, 'method'], [31, 34, 'mean'], [35, 41, 'unit']]}"
pH,"{'data': 'pH | SC 201 | SC 201 | SC 201 | approx. 7.5 <header> <Titanium dioxide classification> | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <R 2 > </header>', 'label': [[40, 43, 'mean'], [5, 11, 'method'], [14, 20, 'method'], [23, 29, 'method']]}"
Production Process,"{'data': 'Description: | Tiona 696 is a high performance, superdurable chloride - process rutile titanium <label>', 'label': []}"
header,"{'data': 'Typical Properties | Typical Properties | Typical Properties', 'label': []}"
multi,"{'data': 'Typical Properties: | • Surface treatment: • Oil absorption: | Alumina, silica, organic 18 g/ 100 g', 'label': []}"
Density,"{'data': '• | Specific gravity: | 4.0', 'label': [[24, 27, 'mean']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content: | 94 %', 'label': [[41, 43, 'mean'], [44, 45, 'unit']]}"
pH,"{'data': 'Properties: | • pH: | 7.4', 'label': [[22, 25, 'mean']]}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption | 35.9 <header> <Property> | <R - 931 > </header>', 'label': [[17, 21, 'mean']]}"
header,"{'data': 'TYPICAL PROPERTIES | TYPICAL PROPERTIES <header> <TYPICAL PROPERTIES> <TiO₂ Content> <Surface Treatment> | <TYPICAL PROPERTIES> <≥ 96 % > <Alumina, zirconium, organic> </header>', 'label': []}"
header,"{'data': 'ITEM | ITEM | Specification | Test Method <header> <ITEM> | <ITEM> | <Specification> | <Test Method> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption | ( g/ 100 g ) | ≤ 21.0 <header> <Specification TiO 2 content> | < ( m/m ) > | <≥ 93.0 % > </header>', 'label': [[19, 27, 'unit'], [34, 38, 'max']]}"
Density,"{'data': 'Specific Gravity ( g/cm 3 ) | 4.1 | 4.1', 'label': [[19, 25, 'unit'], [30, 33, 'unclear_value'], [36, 39, 'unclear_value']]}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Color> | <Gray> </header>', 'label': [[19, 22, 'mean']]}"
Density,"{'data': 'Specific Gravity | 4.0 Kg/Litre', 'label': [[19, 22, 'mean'], [23, 31, 'unit']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica | yes <header> <Property> | <R - 902 +> </header>', 'label': []}"
pH,"{'data': 'Slurry, pH | 8.5 | 9.3 | 8.1 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Slurry Grades> | <Property> <R - 746 > | <Property> <R - 942 > | <Property> <R - 741 > </header>', 'label': [[0, 6, 'measuring_condition'], [13, 16, 'mean'], [19, 22, 'mean'], [25, 28, 'mean']]}"
multi,"{'data': 'Typical Properties: | TIO 2 Content Oli Absorption | 93 % 19', 'label': []}"
Production Process,"{'data': 'Product | rutile pigment produced by the chloride process <label>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 94 % <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content % | . . 91 | . . 91', 'label': [[14, 15, 'unit'], [22, 24, 'mean'], [31, 33, 'mean']]}"
Particle size,"{'data': 'Median Particle Size, µm | 0.41 <header> <Property> | <R - 900 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header>', 'label': [[16, 23, 'method'], [28, 30, 'mean'], [31, 32, 'unit']]}"
pH,"{'data': 'pH Value | 6.5 – 7.5 <header> <> | <GRAY> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max']]}"
Density,"{'data': 'Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] | Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] | 1.1', 'label': [[15, 21, 'measuring_condition'], [32, 38, 'unit'], [75, 81, 'unit'], [86, 89, 'mean'], [0, 4, 'measuring_condition'], [43, 47, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2 Content, % ( m/m ) ≥ | 93 <header> <Characteristic> | <Requirements> </header>', 'label': [[15, 16, 'unit'], [19, 22, 'measuring_condition'], [29, 31, 'min']]}"
Production Process,"{'data': 'Product | rutile pigment produced by the chloride process <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption | gm/ 100 gm | 27 ± 3 <header> <PROPERTIES> | <UNITS> | <GLOWTOX 50 PLUS> </header>', 'label': [[17, 27, 'unit'], [30, 32, 'mean'], [35, 36, 'std']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Color> | <Light Beige> </header>', 'label': []}"
Density,"{'data': 'Specific gravity . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4.0', 'label': [[133, 136, 'mean']]}"
stray,"{'data': '105 ℃挥发物 % ( m/m ) ≤ | 0,8 | 0,8 | 0,53 <header> <产品牌号 R 838 > <产品批号 C 101208 > <检验项目> <检验项目> | <> <> <技术指标> <一等品> | <数 量 检验日期> <> <技术指标> <合格品> | < 800 * 25 kg> < 2010.11.30 > <检验结果> <合格品> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption（ISO 787 - 5 ） | 19 g/ 100 g <header> <TiO 2 % （ISO 591 - 1 ）> | < 93 % > </header>', 'label': [[15, 26, 'method'], [31, 33, 'mean'], [34, 42, 'unit']]}"
pH,"{'data': '· pH ( 10 % suspension ) : | 7.5', 'label': [[7, 22, 'measuring_condition'], [29, 32, 'mean']]}"
Oil Absorption,"{'data': 'Received Oil Absorption | RMFI 15.2 <header> <Property> | <R - 900 > </header>', 'label': [[0, 8, 'measuring_condition'], [26, 30, 'measuring_condition'], [31, 35, 'mean']]}"
pH,"{'data': 'pH Value | 7 <header> <PHYSICAL PROPERTIES ( Typical ) Color> | <Light Buff> </header>', 'label': [[11, 12, 'mean']]}"
Production Process,"{'data': 'Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process <header> <Production rutile pigment produced by the sulfate process> <Surface treatment> | <Production rutile pigment produced by the sulfate process> <Surface treatment> | <Production rutile pigment produced by the sulfate process> <aluminium compounds> </header> <label>', 'label': []}"
Density,"{'data': 'Bulk density [ kg/m 3 ] | 800', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'unit'], [26, 29, 'mean']]}"
Density,"{'data': 'Specific Gravity ( g/cm 3 ) | 4.1', 'label': [[19, 25, 'unit'], [30, 33, 'mean']]}"
Inorganic surface treatment,"{'data': 'AL. ( Sample - standardª ) | ≥ - 0.3 | ≥ - 0.3', 'label': [[6, 24, 'measuring_condition'], [31, 36, 'unclear_value'], [41, 46, 'unclear_value']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 89 <header> <Property> | <R - 960 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
pH,"{'data': 'pH ( aqueous slurry ) | 6,5 - 8,0', 'label': [[5, 19, 'measuring_condition'], [24, 27, 'min'], [30, 33, 'max']]}"
multi,"{'data': 'Typical Properties: | TiO 2 Content 95 % Oil Absorption 19 pH ( 10 % suspension ) 7.5 Specific Gravity 4.1 Density 34.2 Ibs/gal <header> <> | <> </header>', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile Content: | 97 % min', 'label': [[18, 20, 'min'], [21, 22, 'unit']]}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
Density,"{'data': 'Bulk density ( tamped ) , kg/m 3 | 1000', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 32, 'unit'], [35, 39, 'mean']]}"
Density,"{'data': 'Bulk denisity ( tamped ) ( 2 ) | 1.4 g/cm 3', 'label': [[0, 4, 'measuring_condition'], [16, 22, 'measuring_condition'], [33, 36, 'mean'], [37, 43, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption ( ISO 787, Part 5 ) | 15 – 20 g/ 100 g', 'label': [[17, 32, 'method'], [37, 39, 'min'], [42, 44, 'max'], [45, 53, 'unit']]}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': []}"
multi,"{'data': 'Mass fraction of titanium dioxide, than Mass fraction of rutile, not less | 92 98', 'label': []}"
stray,"{'data': 'content [ % ] | min | 93', 'label': []}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3 <header> <TYPICAL PROPERTIES> <TiO 2 content> | <TYPICAL PROPERTIES> <≥ 94.0 % > </header>', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
Oil Absorption,"{'data': 'Oil Absorption（g/ 100 g） | 22 | 18 <header> <> | <PFC 105 > | <CR - 95 > </header>', 'label': [[15, 23, 'unit'], [27, 29, 'mean'], [32, 34, 'mean']]}"
pH,"{'data': 'pH Value | 6.5 – 7.5 <header> <> | <F> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max']]}"
"Crystal (rutile %, anatase %)","{'data': 'Main Modifiers | Main Modifiers | Al 2 O 3, ZrO 2 | Al 2 O 3, ZrO 2 | Al 2 O 3, ZrO 2 <header> <ITEM> | <ITEM> | <MT - 100 HD> | <MT - 500 HD> | <MT - 700 HD> </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 90 <header> <Property> | <R - 960 > </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 93 <header> <Property> | <R - 902 +> </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min']]}"
Density,"{'data': 'Bulk density ( tamped ) [ kg/m 3 ] | 1000', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 32, 'unit'], [37, 41, 'mean']]}"
Density,"{'data': 'Specific gravity | 4.0 <header> <Tio, content> | <≥ 93 % > </header>', 'label': [[19, 22, 'mean']]}"
Production Process,"{'data': 'Type: | Rutile, chloride - process titanium dioxide <label>', 'label': []}"
header,"{'data': 'Typical Properties | Typical Properties | Typical Properties', 'label': []}"
Inorganic surface treatment,"{'data': 'Product Characteristics | Surface treatment aluminium, silicon and zirconium compounds <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header>', 'label': []}"
Density,"{'data': '• Specific gravity: | 4.0', 'label': [[22, 25, 'mean']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content | 94 %', 'label': [[40, 42, 'mean'], [43, 44, 'unit']]}"
TiO2 content,"{'data': 'Technical data parameter TiO 2 content | min 94.0 % | ISO 591 - 1 <header> <Technical data parameter TiO 2 content> | <min 94.0 % > | <ISO 591 - 1 > </header>', 'label': [[45, 49, 'min'], [50, 51, 'unit'], [54, 65, 'method']]}"
stray,"{'data': 'gravity: | 4.0', 'label': []}"
TiO2 content,"{'data': 'Purity TiO 2 | 90 | | 92,42 <header> <> <Item> <Item> | <> <Standard> <> | <> <Standard> <> | <> <Result> <> </header>', 'label': [[15, 17, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 16.2 <header> <Property> | <R - 902 +> </header>', 'label': [[17, 21, 'mean']]}"
Density,"{'data': 'Bulk Density | g/l | 415 ± 30 <header> <Dry Solids> | < % > | <min. 99,0 > </header>', 'label': [[0, 4, 'measuring_condition'], [15, 18, 'unit'], [21, 24, 'mean'], [27, 29, 'std']]}"
pH,"{'data': 'pH . . . | 7.5', 'label': [[11, 14, 'mean']]}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
TiO2 content,"{'data': 'Purity ( TiO 2 ) | > 93.0 %', 'label': [[21, 25, 'min'], [26, 27, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content | 94 % <header> <TiO 2 Content> | < 94 % > </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
header,"{'data': 'Product Quality Index Features | Product Quality Index Features | Product Quality Index Features <header> <Product Quality Index Features> <Items> | <Product Quality Index Features> <Units> | <Product Quality Index Features> <Index> </header>', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile crystal content | ≥ 97.0 % | ≥ 97.0 %', 'label': [[27, 31, 'min'], [38, 42, 'min'], [32, 33, 'unit'], [43, 44, 'unit']]}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Present <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
TiO2 content,"{'data': 'Product | Titanium dioxide of Crimea CR - О 3', 'label': []}"
pH,"{'data': 'PH | 6.0 - 8.5', 'label': [[5, 8, 'min'], [11, 14, 'max']]}"
Oil Absorption,"{'data': 'Oil absorption, g/ 100 g | 17.0 | DIN EN ISO 787 - 5 <header> <Property> | <Typical Value> | <Method> </header>', 'label': [[16, 24, 'unit'], [27, 31, 'mean'], [34, 52, 'method']]}"
pH,"{'data': 'pH | 9 * <header> <Property> | <TS - 6300 > </header>', 'label': [[5, 6, 'mean']]}"
pH,"{'data': '• pH ( 10 % suspension ) : | 7.8', 'label': [[7, 22, 'measuring_condition'], [29, 32, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption（g/ 100 g） | 22 | 18 <header> <> | <PFC 105 > | <CR - 95 > </header>', 'label': [[15, 23, 'unit'], [27, 29, 'mean'], [32, 34, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption | ≤ 20', 'label': [[19, 21, 'max']]}"
Inorganic surface treatment,"{'data': 'SiO 2, % | 0.50 | analysis <header> <Property> | <Typical Value> | <Method> </header>', 'label': [[7, 8, 'unit'], [11, 15, 'mean']]}"
header,"{'data': 'PARAMETER | VALUE | TEST METHOD <header> <PARAMETER> | <VALUE> | <TEST METHOD> </header>', 'label': []}"
TiO2 content,"{'data': 'Typical | • TiO 2 content: 95 % | <header> <> | <pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range interior and exterior, water and solvent based coating formulations.> | <Australia Phone: + ( 08 ) .9780.8301 or + 61.8.9780.8301 CHINA> </header>', 'label': [[30, 31, 'unit'], [27, 29, 'mean']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile crystal content | 97.0 %', 'label': [[25, 29, 'mean'], [30, 31, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile crystal content | ≥ 97.0 %', 'label': [[27, 31, 'min'], [32, 33, 'unit']]}"
Inorganic surface treatment,"{'data': 'SiO 2, % | 1.25 <header> <> | <STD> </header>', 'label': [[11, 15, 'mean'], [7, 8, 'unit']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 4.3 <header> <Property> | <R - 902 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
pH,"{'data': 'pH Value | 6.5 ~ 8.0 | ISO 787 - 9 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max'], [23, 34, 'method']]}"
multi,"{'data': 'Typical Properties: | • TiO 2 content 94 % • Surface treatment: Alumina, silica, organic • Oil absorption: 20 g/ 100 g • pH ( 10 % suspension ) : 7.8 • Specific gravity: 4.0 | LATIN AMERICA LWM Corporate Center Rua George Ohm, 206 – Tower A 2 nd Floor <header> <> | <> | <ASIA/PACIFIC> </header>', 'label': []}"
Production Process,"{'data': 'Product | Production | rutile pigment produced by the sulphate process <label>', 'label': []}"
multi,"{'data': 'content: absorption: | 91 % 19 g/ 100 g', 'label': []}"
Particle size,"{'data': 'Median Particle Diameter……………………….……………………………… | 1.0 Micron', 'label': [[0, 6, 'measuring_condition'], [49, 52, 'mean'], [53, 59, 'unit']]}"
Density,"{'data': 'Product Characteristics | Density ( ISO 787, Part 10 ) 4.1 g/cm 3', 'label': [[36, 52, 'method'], [55, 58, 'mean'], [59, 65, 'unit']]}"
pH,"{'data': '• pH ( 10 % suspension ) : | 7.5', 'label': [[7, 22, 'measuring_condition'], [29, 32, 'mean']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | — <header> <Property> | <R - 900 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 [ % ] | C 101101 A | C 101101 A | C 101101 A | approx. 94 <header> <Titanium dioxide classification> | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <DIN EN ISO 591 - 1 > | <R 2 > </header>', 'label': [[61, 63, 'mean'], [14, 24, 'measuring_condition'], [8, 9, 'unit'], [27, 37, 'measuring_condition'], [40, 50, 'measuring_condition']]}"
Oil Absorption,"{'data': 'OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 | OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 | OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 | OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 | OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 | OIL ABSORPTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 19 <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': [[183, 185, 'mean'], [371, 373, 'mean'], [559, 561, 'mean'], [747, 749, 'mean'], [935, 937, 'mean'], [1123, 1125, 'mean']]}"
