text,label,jsonl_data
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
"RutileContent(%), min. | >99.0 ","Crystal (rutile %, anatase %)",
Rutile% | 99.5 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile% | 99.5 ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Rutile Content | % | ≥ 98 ,"Crystal (rutile %, anatase %)",
"Mass fraction of rutile, %, not less than | 97 |  | 98 ","Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
Rutile | Rutile | Rutile | 2011 99.5% | 2011 99.5% | 2011 99.5%,"Crystal (rutile %, anatase %)",
Content of Rutile(%) min. | 98 | 99 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
Content of Rutile(%) min. | 98 | 99 ,"Crystal (rutile %, anatase %)",
Rutile content | ≥ 99.7 | R % ,"Crystal (rutile %, anatase %)",
Rutile | Rutile | Rutile | 2011 99.5% | 2011 99.5% | 2011 99.5%,"Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
 | Rutile | Rutile | % | ≥ | 98,"Crystal (rutile %, anatase %)",
Crystal Form…...……………………………………………………………….. | Rutile,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Rutile | Rutile | Rutile | 2011 99.5% | 2011 99.5% | 2011 99.5%,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Rutile Content，% | ≥99.0 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
"Mass fraction of rutile, %, not less than | 98","Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
 | Rutile | Rutile | % | ≥ | 98,"Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"金红石含量 | Rutile content, % | ≥98 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
"金红石含量 | Rutile content, % | ≥98 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
"1a | of which rutile | ASTM D3720-90 | % w/w | min. 98,5 ","Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile content | ≥ 99.7 | R % ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0% | ≥ 97.0%,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Rutile% | 99.5 ,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9 | 99.9 | 99.9,"Crystal (rutile %, anatase %)",
 | Rutile | Rutile | % | ≥ | 98,"Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Rutile Content，% | ≥99.0 ,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Rutile Content | % | ≥ 98 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
Content of Rutile(%) min. | 98 | 99 ,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98 ","Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 ,"Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 | 98,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9 | 99.9 | 99.9,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"RutileContent(%), min. | >99.0 ","Crystal (rutile %, anatase %)",
"金红石含量 | Rutile content, % | ≥98 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content (%) min | 98.0 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
------------------------------------------------------------------------------------------------------- TYPE | R-996 ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
"1a | of which rutile | ASTM D3720-90 | % w/w | min. 98,0 ","Crystal (rutile %, anatase %)",
"Rutile form, % by wt., min. | 97 | GOST 9808 ","Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Structure | Rutile ,"Crystal (rutile %, anatase %)",
1a | of which rutile | ASTM D3720-90 | % w/w | min. 98.0 ,"Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 | 98,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
crystal | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
"Mass fraction of rutile, %, not less than | 98","Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Rutile Content，% | ≥99.0 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
"1a | of which rutile | ASTM D3720-90 | % w/w | min. 98,0 ","Crystal (rutile %, anatase %)",
 | Rutile | Rutile | % | ≥ | 98,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
crystal | ≥ 97.0%,"Crystal (rutile %, anatase %)",
"RutileContent(%), min. | >99.0 ","Crystal (rutile %, anatase %)",
crystal | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Crystal Form…...……………………………………………………………….. | Rutile,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Rutile Content | %(m) | XRD | DIN EN 13925-3 | >= 99.7 ,"Crystal (rutile %, anatase %)",
Rutile% | 99.5 ,"Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
 | Rutile | Rutile | % | ≥ | 98,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content | % | ≥ 98 ,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
"Rutile content, % | 98 ","Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
1a | of which rutile | ASTM D3720-90 | % w/w | min. 98.0 ,"Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.5% ,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
"Rutile form, % by wt., min. | 97 | GOST 9808 ","Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
金红石含量 | Rutile content | %≥ 97.0 ,"Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
"Rutile content, % | 98","Crystal (rutile %, anatase %)",
"1a | of which rutile | ASTM D3720-90 | % w/w | min. 98,0 ","Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
crystal | 97.0%,"Crystal (rutile %, anatase %)",
Rutile% | 99.5 ,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9,"Crystal (rutile %, anatase %)",
金红石含量 | Rutile content | %≥ 97.0 ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Rutile Content，% | ≥99.0 ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥98.0% | ≥98.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0% | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile | % | 98 IV ,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
"Rutile Content,%(m/m) ≥ | 98 ","Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
crystal | ≥ 97.0%,"Crystal (rutile %, anatase %)",
Rutile Content: | 97% min,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile > 99.0 %,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
Crystal structure :unselected: | Rutile,"Crystal (rutile %, anatase %)",
Rutile crystal content |  | ≥ 98.0% ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
金红石含量 | Rutile content | %≥ 97.0 ,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content，% | ≥99.0 ,"Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
"金红石含量 | Rutile content, % | ≥98 ","Crystal (rutile %, anatase %)",
Structure | Rutile,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile | % | ≥ | 98 | 98,"Crystal (rutile %, anatase %)",
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile Content，% | 99.9 | 99.9 | 99.9,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
金红石含量 | Rutile content | %≥ 97.0 ,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Rutile crystal content | 97.0%,"Crystal (rutile %, anatase %)",
Crystal Form | Rutile ,"Crystal (rutile %, anatase %)",
Rutile | % | 98 IV ,"Crystal (rutile %, anatase %)",
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Specific gravity | 4.1g/cm3 | ISO 787-18 ,Density,
Specific gravity . . . . . . . . . . . . . . . . . . . . . . . . Bulk . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . 4.1 . . . . . . . . . .. . . . . . 0.8 kg/l or 50 lbs/cu.ft.,Density,
Specific Gravity，g/cm3 | 4.1 | 4.1 | 4.1,Density,
Specific Gravity | (g/cm3 ) | 4.1 ,Density,
"Bulk Density (Tap), kg/m3 | 1100 ",Density,
Specific Gravity (g/cm3) | 4.1,Density,
Bulk density (tamped)(2) [g/cm3 ] | 1.1,Density,
"Bulk Density (Tap), kg/m3 | 1200 ",Density,
Bulk density (tamped)(2) | 1.1g/cm3,Density,
Bulk density (tamped)(2) | 1.1 g/cm3 | 1.1 g/cm3 ,Density,
• Specific gravity: | 4.1,Density,
Specific gravity | 4.1 g/cm3,Density,
Bulk density (tamped)(2) | 1.1g/cm3,Density,
Specific gravity: | 4.0,Density,
Specific gravity | 4.0 0.70,Density,
Properties: | • Density: 34.2 lbs/gal | 04576-020 – São Paulo – SP - Brazil Phone: +55.11.3296.1500 ,Density,
Average specific density (kg/m3 ) | 3800 ,Density,
Density: | 34.2 lbs/gal,Density,
Bulk density (tamped)(2) | 1.15 g/cm3 ,Density,
Bulk density (tamped) | 1.2g/cm3 | 150 787-11 ,Density,
Specific Gravity | 4.0 ,Density,
Bulk density (tamped)(2) | 1.1 g/cm3 | 1.1 g/cm3 ,Density,
Density: | 4.0,Density,
"比重 | Specific gravity, g/cm3 | 4.0 ",Density,
Bulk density (tamped)(2) | 1.1 g/cm3 ,Density,
Specific Gravity | 4.1 ,Density,
Specific Gravity | 4.2 ,Density,
Specific gravity: | 4.1,Density,
Bulk density (tamped) [kg/m3 ] |  | 1000 ,Density,
Specific Gravity | 4.0 ,Density,
Bulk density (tamped)(2) | 1.1 g/cm3 ,Density,
Specific Gravity | 4.0 ,Density,
Tapped Density | g/l | 675 ± 20 ,Density,
Specific gravity | 4.1 g/cm3,Density,
Specific Gravity | 4.0 | 4.0 | 4.0 | 3.9 | 3.6 | 4.0 ,Density,
"Properties Product Characteristics | Properties Product Characteristics | Density (ISO 787, Part 10) 4.1 g/cm3",Density,
Density: | 33.3 lbs/gal,Density,
Specific gravity: | 4.1,Density,
Specific Gravity | ..... 4.0,Density,
"Bulk Density (Tap), kg/m3 | 1041 ",Density,
Specific gravity | 3.70,Density,
Bulk density (tamped)(2) | 1.1g/cm3,Density,
Specific gravity: | 4.0,Density,
Density |,Density,
"Bulk Density (Tap), kg/m3 | 1200 ",Density,
"Product Characteristics | Density (ISO 787, Part 10) 4.0 g/cm3 ",Density,
Specific gravity | 4.1g/cm3,Density,
Specific gravity | 4.1 g/cm3 | ISO 787-10 ,Density,
Properties: | • Density: 34.2 lbs/gal | 04576-020 – São Paulo – SP - Brazil Phone: +55.11.3296.1500 ,Density,
Bulk density: | 1.1 kg/l or 69 lbs/cu.ft.,Density,
Specific gravity [g/cm3 ] | 4.0,Density,
"Bulk Density (Tap), kg/m3 | 1041 ",Density,
Specific gravity [g/cm3 ] | 4.1,Density,
Density: | 34.4 lbs/gal,Density,
Bulk density (tamped) | 1.2g/cm3 | ISO 787-11 ,Density,
Specific gravity: | 4.1,Density,
• Specific gravity: | 4.0,Density,
Specific gravity [g/cm3 ] | 4.1,Density,
Average bulk density (tamped) (kg/m3) | 820,Density,
Bulk density (tamped)(2) | 1.1 g/cm3 ,Density,
"Bulk density (tamped), kg/m3 | 1000",Density,
Average specific density (kg/m3) | 3800,Density,
Bulk density [kg/m3 ] | Bulk density [kg/m3 ] | 150 ,Density,
"Bulk density, kg/m3 | 150",Density,
Specific Gravity | 4.0 ,Density,
Density (DIN EN ISO 787-10)* | 4.0 g/cm3,Density,
SPECIFIC GRAVITY | 3.80 ,Density,
· Specific gravity: | 4.1,Density,
Specific gravity | 4.1g/cm3 | ISO 787-10 ,Density,
Specific density [g/cm3 ] | 4.1,Density,
Specific Gravity | (g/cm3 ) | 4.1 ,Density,
Specific gravity . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4.0,Density,
Bulk density [kg/m3 ] | 800,Density,
Average specific density (kg/m3 ) | 3800,Density,
Specific Gravity | ..... 4.0,Density,
Specific Gravity | 4.2g/cm3,Density,
Specific gravity | 4.05 g/cm3 ,Density,
Bulk density (tamped) [kg/m3 ] | 1000,Density,
Specific Gravity | 4.0 ,Density,
Specific gravity (g/cm3) | 3.9 - 4.2 | 4.10 ,Density,
BULK DENSITY | 0.905 ,Density,
Specific gravity (g/cm3) | 4.1,Density,
Bulk density (tamped) [kg/m3 ] | 1000,Density,
Specific gravity: | 4.0,Density,
Specific gravity . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4.0,Density,
Specific gravity . . . . . . . . . . . . . . . . . . . . . . . . Bulk . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . 4.1 . . . . . . . . . .. . . . . . 0.8 kg/l or 50 lbs/cu.ft.,Density,
Bulk Density (Loose) | 640 kg / m3,Density,
Properties: | • Density: 34.2 lbs/gal | 04576-020 – São Paulo – SP - Brazil Phone: +55.11.3296.1500 ,Density,
Specific gravity | 4.1 g/cm3,Density,
Specific Gravity | 4.0 ,Density,
Specific gravity: | 4.1,Density,
• | Specific gravity: | 4.0,Density,
Specific Gravity | 4.0 ,Density,
Specific Gravity (g/cm3) | 4.1,Density,
Specific gravity [g/cm3 ] | 4.0,Density,
Specific gravity: | 3.5,Density,
