label,jsonl_data
Acid content,"{'data': 'Acidity | 0.0000 | 0.0100 | weight % | <header> <Test Description> | <Specification Minimum> | <Limits Maximum> | <Unit of Measure> | <Test Method> </header>', 'label': [[10, 16, 'min'], [19, 25, 'max'], [28, 34, 'measuring_condition'], [35, 36, 'unit']]}"
multi,"{'data': '70 | 343 | 0.8320 | 0.34 | 1.3559 + ) | 2.16 <header> <T [ °C ] > | <Vapour pressure P [ mbar ] > | <Density d [ g/cm 3 ] > | <Viscosity n [ mPa·s ] > | <Refractive index nD> | <Specific heat CP [ kJ/ ( kg·K ) ] > </header>', 'label': []}"
Flash point,"{'data': 'Flash Point, min | °C | 23.0 | IP 170 | <header> <Properties> | <Units> | <Value> | <Test Method> | <> </header>', 'label': [[19, 21, 'unit'], [24, 28, 'min'], [31, 37, 'method']]}"
Boiling point,"{'data': 'Initial Bo oiling Point | | | 153 – 163 <header> <Propert y> <Appeara ance> | <Unit ts> < - > | <Method> <EC A A 01 - - > | <Specificatio on> <Bright & Clea ar> </header>', 'label': [[0, 7, 'measuring_condition'], [30, 33, 'min'], [36, 39, 'max']]}"
Active %,"{'data': 'Assay | 99.0 wt % min. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 12, 'min'], [13, 15, 'measuring_condition'], [16, 17, 'unit']]}"
Acid content,"{'data': 'Acidity, as acetic acid, % maximum | 0.003 | ASTM D 1613 <header> <Product Specifications> | <Value> | <Test Method> </header>', 'label': [[25, 26, 'unit'], [37, 42, 'max'], [45, 56, 'method'], [9, 23, 'measuring_condition']]}"
Boiling point,"{'data': 'Distillation Range - Final Boiling Point ( FBP ) | | 305 | °C | ASTM D 86 <header> <Properties> | <Minimum> | <Maximum> | <Unit> | <Test Method> </header>', 'label': [[0, 26, 'measuring_condition'], [43, 46, 'measuring_condition'], [53, 56, 'max'], [59, 61, 'unit']]}"
Boiling point,"{'data': 'Distillation, ℃ ( D - 1078 ) | <header> <> | <SPECIFICATIONS> </header>', 'label': [[18, 26, 'method'], [14, 15, 'unit']]}"
Boiling point,"{'data': 'Distillation Range | | | ASTM D 86 <header> <Properties> | <Typical Value Unit> | <Typical Value Unit> | <Test Based On> </header>', 'label': [[25, 34, 'method']]}"
header,"{'data': 'Parameters | Min | Max | Units | Method <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': []}"
Boiling point,"{'data': 'Boiling Point at 50 % | ° C | Above 280 <header> <Chemical and Physical Properties> | <Unit> | <Typical Properties> </header>', 'label': [[24, 27, 'unit'], [36, 39, 'min'], [14, 21, 'measuring_condition']]}"
header,"{'data': 'Index | Index | High grade | First grade <header> <Index> | <Index> | <High grade> | <First grade> </header>', 'label': []}"
Boiling point,"{'data': 'Boiling Point | | | <header> <Vapor Pressure @ 50 °C> | <kPa> | <Calculated> | < 11 > </header>', 'label': []}"
Flash point,"{'data': 'Flash point ( °C ) Open cup | 41.1 <header> <Appearance @ 25 °C> | <Clear liquid> </header>', 'label': [[19, 27, 'measuring_condition'], [14, 16, 'unit'], [30, 34, 'mean']]}"
Flash point,"{'data': 'Abel Flash point | °C | ISO 13736 | 38 | 38 <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED VALUES MINI MAXI> | <GUARANTEED VALUES MINI MAXI> </header>', 'label': [[19, 21, 'unit'], [24, 33, 'method'], [36, 38, 'min'], [41, 43, 'max'], [0, 4, 'measuring_condition']]}"
Water Content,"{'data': '% Moisture ( Karl Fischer, W 956 ) - | 0.1 Maximum <header> <Appearance @ 25 deg. C> | <Clear liquid> </header>', 'label': [[0, 1, 'unit'], [13, 32, 'measuring_condition'], [39, 42, 'max']]}"
Flash point,"{'data': 'Flash point ( Abel Closed Cup ) | °C | 5 | 27 | 21 <header> <Properties table of the pure product> | <Properties table of the pure product> | <Isopropyl Acetate> | <n - Butyl Acetate> | <Isobutyl Acetate> </header>', 'label': [[14, 29, 'measuring_condition'], [34, 36, 'unit'], [39, 40, 'mean'], [43, 45, 'mean'], [48, 50, 'mean']]}"
Boiling point,"{'data': 'Boiling Point °C | - | 146 <header> <Property Unit> | <Method> | <Value> </header>', 'label': [[14, 16, 'unit'], [23, 26, 'mean']]}"
Boiling point,"{'data': '- DP | | 125 °C <header> <TEST> | <METHOD> | <SPECIFICATION> </header>', 'label': [[2, 4, 'measuring_condition'], [9, 12, 'mean'], [13, 15, 'unit']]}"
Boiling point,"{'data': ' | Distillation, IBP °C | 150.0 | | ASTM D 1078 ( 4 )', 'label': [[17, 20, 'measuring_condition'], [21, 23, 'unit'], [26, 31, 'mean'], [36, 47, 'method']]}"
Boiling point,"{'data': 'Distillation Range, ºC | 196 - 225 | 210 - 225 | 215 - 225 | 196 | 210 - 215 | 227 - 230 | 196 - 215 | 196 - 230 <header> <Typical Compositions, wt % > | <FlexiSolv® DBE® esters> | <FlexiSolv® DBE® - 2 esters> | <FlexiSolv® DBE® - 3 esters> | <FlexiSolv® DBE® - 4 ester> | <FlexiSolv® DBE® - 5 ester> | <FlexiSolv® DBE® - 6 ester> | <FlexiSolv® DBE® - 9 esters> | <FlexiSolv® DBE® - WS esters> </header>', 'label': [[20, 22, 'unit'], [25, 28, 'min'], [37, 40, 'min'], [49, 52, 'min'], [67, 70, 'min'], [79, 82, 'min'], [91, 94, 'min'], [103, 106, 'min'], [31, 34, 'max'], [43, 46, 'max'], [55, 58, 'max'], [73, 76, 'max'], [85, 88, 'max'], [97, 100, 'max'], [109, 112, 'max'], [61, 64, 'mean']]}"
Active %,"{'data': 'Purity | min. 99 % weight', 'label': [[14, 16, 'min'], [17, 18, 'unit'], [19, 25, 'measuring_condition']]}"
header,"{'data': 'Characteristics | UN | Specification / Tolerance | Method <header> <VERIFICATIONS> <Characteristics> | <VERIFICATIONS> <UN> | <VERIFICATIONS> <Specification / Tolerance> | <VERIFICATIONS> <Method> </header>', 'label': []}"
Boiling point,"{'data': 'Distillation Range - Dry Point ( DP ) | | 160 | °C | ASTM D 86 <header> <Properties> | <Minimum> | <Maximum> | <Unit> | <Test Method> </header>', 'label': [[21, 24, 'measuring_conditon'], [33, 35, 'measuring_conditon'], [42, 45, 'max'], [48, 50, 'unit'], [53, 62, 'method']]}"
Boiling point,"{'data': 'Typical Properties | Distillation, IBP | °C ASTM D 86 | 178 <header> <Data Sheet> | < 18 - Feb - 2010 > | < 18 - Feb - 2010 > | <> </header>', 'label': [[41, 43, 'unit'], [44, 53, 'method'], [56, 59, 'mean'], [35, 38, 'measuring_condition']]}"
Acid content,"{'data': 'Total acidity | D 3242 | 0,015 max | mg KOH/g <header> <Characteristics> | <Methods> | <Specification> | <Unit> </header>', 'label': [[16, 22, 'method'], [25, 30, 'max'], [37, 45, 'unit']]}"
header,"{'data': 'Property | Method | Typical | Specification | Specification <header> <Property> <Property> <Appearance> | <Method> <Method> <Visual> | <Typical> <Typical> <Clear & Bright> | <Specification> <MIN> < - > | <Specification> <MAX> < - > </header>', 'label': []}"
Boiling point,"{'data': 'Boiling Range: Initial Boiling Point | ℃ | . . . ........ ASTM D 1078 | 79.8 | 92.0 <header> <PROPERTIES> | <UNITS> | < 2 METHODS> | <MOSSTANOL L> | <MOSSTANOL 120 > </header>', 'label': [[15, 22, 'measuring_condition'], [39, 40, 'unit'], [58, 69, 'method'], [72, 76, 'mean'], [79, 83, 'mean']]}"
Flash point,"{'data': 'Flash Point, ºF ( T.C.C. ) | 214 ( 101.1 ℃ ) <header> <> | <SPECIFICATIONS> </header>', 'label': [[13, 15, 'unit'], [18, 24, 'measuring_condition'], [29, 32, 'mean'], [35, 40, 'mean'], [41, 42, 'unit']]}"
Acid content,"{'data': 'Acidity as Acetic Acid | 0.01 wt % max. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 22, 'measuring_condition'], [25, 29, 'max'], [30, 32, 'measuring_condition'], [33, 34, 'unit']]}"
Acid content,"{'data': 'Acidity as Acetic Acid | 0.02 wt % max. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 22, 'measuring_condition'], [25, 29, 'mean'], [30, 32, 'measuring_condition'], [33, 34, 'unit']]}"
Water Content,"{'data': 'Water | max. 0.2 % weight', 'label': [[13, 16, 'max'], [17, 18, 'unit'], [19, 25, 'measuring_condition']]}"
Acid content,"{'data': 'Acidity, as acetic acid, wt % | BRCP 4581 | Calculated** | 0.003 max <header> <Properties> | <Test Methods> | <> | <Sales Specifications> </header>', 'label': [[25, 27, 'measuring_condition'], [28, 29, 'unit'], [32, 41, 'method'], [59, 64, 'max'], [9, 23, 'measuring_condition']]}"
Acid content,"{'data': 'ACIDITY ( AS CH 3 COOH, % ) | 0.005 MAX | ASTM <header> <INDEX> | <SPECIFICATIONS> | <Method> </header>', 'label': [[10, 22, 'measuring_condition'], [24, 25, 'unit'], [30, 35, 'max'], [42, 46, 'method']]}"
Boiling point,"{'data': 'Initial | | 169 °C ( 336 °F ) <header> <Property> | <Test Method Typical Value, Units> | <Test Method Typical Value, Units> </header>', 'label': [[0, 7, 'measuring_condition'], [12, 15, 'mean'], [16, 18, 'unit'], [21, 24, 'mean'], [25, 27, 'unit']]}"
Flash point,"{'data': 'Tag Open Cup | 46 °C ( 115 °F ) <header> <Color Pt - Co> | < 10 max.> </header>', 'label': [[0, 12, 'measuring_condition'], [15, 17, 'mean'], [23, 26, 'mean'], [18, 20, 'unit'], [27, 29, 'unit']]}"
Boiling point,"{'data': 'Tislaus, 95 % Destillation, 95 % Distillation, 95 % | °C | | | 237 | EN ISO 3405 <header> <> | <Yksikkö Enhet Unit> <> | <Laaturaja Kvalitetskrav Specification> <min.> | <Laaturaja Kvalitetskrav Specification> <max.> | <Tyypillinen arvo Typvärde Typical analysis> <> | <Määritysmenetelmä Testmetod Test method> <> </header>', 'label': [[9, 13, 'measuring_condition'], [28, 32, 'measuring_condition'], [54, 56, 'unit'], [69, 80, 'method'], [63, 66, 'mean']]}"
Water Content,"{'data': 'Water | mass % | 0.1 max | ASTM D 1364 <header> <Properties> | <Units> | <Limits> | <Test Methods> </header>', 'label': [[8, 12, 'measuring_condition'], [13, 14, 'unit'], [17, 20, 'max'], [27, 38, 'method']]}"
Boiling point,"{'data': ' | D.B.Pt. | | | 185 | 180 <header> <Method> | <Method Name> | <Minimum> | <Minimum> | <Maximum> | <Typical> </header>', 'label': [[3, 10, 'measuring_conditon'], [17, 20, 'max']]}"
Water Content,"{'data': 'Regulation CE nº 625 / 2003 | Content of water', 'label': []}"
header,"{'data': 'Properties | Minimum | Maximum | Unit | Test Method <header> <Properties> | <Minimum> | <Maximum> | <Unit> | <Test Method> </header>', 'label': []}"
Flash point,"{'data': 'Flash point PM | DIN EN ISO 2719 | °C | 115 <header> <Analysis> | <Method> | <Unit> | <Typical> </header>', 'label': [[17, 32, 'method'], [35, 37, 'unit'], [40, 43, 'mean'], [12, 14, 'measuring_conditon']]}"
Boiling point,"{'data': 'initial point ( IBP ) | min. 156 °C', 'label': [[0, 21, 'measuring_condition'], [29, 32, 'min'], [33, 35, 'unit']]}"
header,"{'data': 'Parameters | Min Max | Min Max | Min Max | Units | Method <header> <Parameters> | <Min Max> | <Min Max> | <Min Max> | <Units> | <Method> </header>', 'label': []}"
Boiling point,"{'data': 'Boiling point | ℃ | 255 - 261 <header> <Property> | <Units> | <Index> </header>', 'label': [[20, 23, 'min'], [26, 29, 'max'], [16, 17, 'unit']]}"
stray,"{'data': '90 % Recuperado, ºC | 190 | 190 | <header> <DETERMINACIONES> | <ESPECIFICACIONES Mín. Máx.> | <ESPECIFICACIONES Mín. Máx.> | <MÉTODO DE ENSAYO> </header>', 'label': [[0, 4, 'measuring_condition'], [22, 25, 'mean'], [28, 31, 'mean'], [17, 19, 'unit']]}"
Aromatic content,"{'data': 'Typical Properties | Aromatics | mg/kg | SMS 2728 | < 5 <header> <Data Sheet> | < 22 - Nov - 2007 > | < 22 - Nov - 2007 > | <> | <> </header>', 'label': [[33, 38, 'unit'], [41, 49, 'method'], [54, 55, 'max']]}"
Aromatic content,"{'data': 'AROMATICOS, ppm. máx. Aromatic content, ppm. max. | 150 <header> <. Ensayo> | <Límites> </header>', 'label': [[12, 15, 'unit'], [40, 43, 'unit'], [52, 55, 'max']]}"
Active %,"{'data': 'Purity, min | % m/m | 99.5 | GC by difference | <header> <Properties> | <Units> | <Value> | <Test Method> | <> </header>', 'label': [[14, 15, 'unit'], [16, 19, 'measuring_condition'], [22, 26, 'min'], [29, 45, 'measuring_condition']]}"
Active %,"{'data': 'Purity | wt % | AST M D 2804 / BR RCP 4512 / E C‐F‐GCTM 06 6 / GC | 99.9 <header> <Proper rty> | <Unit ts> | <Method d> | <Typic cal values> </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 28, 'method'], [31, 42, 'method'], [44, 60, 'method'], [63, 65, 'measuring_condition'], [68, 72, 'mean']]}"
Boiling point,"{'data': 'IBP | 137.0 min | 138.0 <header> <> | <SPECIFICATIONS> | <TYPICAL*> </header>', 'label': [[6, 11, 'min'], [0, 3, 'measuring_condition'], [18, 23, 'mean']]}"
Water Content,"{'data': 'Water content, max | % mass | % mass | 0.15 | ASTM D 1364 - 02, BS 2511 | <header> <Properties> | <Units> | <Units> | <Value> | <Test Method> | <> </header>', 'label': [[21, 22, 'unit'], [23, 27, 'measuring_condition'], [30, 31, 'unit'], [32, 36, 'measuring_condition'], [39, 43, 'max'], [46, 71, 'method']]}"
header,"{'data': 'Property | Value | Unit | Unit <header> <Property> | <Value> | <Unit> | <Unit> </header>', 'label': []}"
Active %,"{'data': 'Purity | min. 97 % weight', 'label': [[14, 16, 'min'], [17, 18, 'unit'], [19, 25, 'measuring_condition']]}"
Boiling point,"{'data': 'Distillation range DP, °C | 205 máx.', 'label': [[23, 25, 'unit'], [28, 32, 'max'], [19, 21, 'measuring_condition']]}"
Acid content,"{'data': 'Acid Value, mg KOH/g | Calculated ** | ASTM D 1045 * | 0.03 max <header> <Properties> | <Test Methods> | <> | <Sales Specifications> </header>', 'label': [[12, 20, 'unit'], [39, 50, 'acid_content'], [55, 59, 'max']]}"
Aromatic content,"{'data': 'Aromathalt Aromatic content | Aromathalt Aromatic content | Aromathalt Aromatic content | Aromathalt Aromatic content | Aromathalt Aromatic content | | <header> <> | <> | < 09 - 06 - 2021 Yksikkö Enhet Unit> <> | <Laaturaja Kvalitetskrav Specification> <min.> | <Laaturaja Kvalitetskrav Specification> <max.> | < 7 L 010 Tyypillinen arvo Typvärde Typical analysis> <> | <Määritysmenetelmä Testmetod Test method> <> </header>', 'label': [[0, 10, 'measuring_condition'], [30, 40, 'measuring_condition'], [60, 70, 'measuring_condition'], [90, 100, 'measuring_condition'], [120, 130, 'measuring_condition']]}"
Acid content,"{'data': 'Acidity | wt. - % | | 0,01 <header> <Parameter> | <Maßeinheit> | <Bestimmungsmethode> | <Wert> </header>', 'label': [[10, 13, 'measuring_condition'], [16, 17, 'unit'], [22, 26, 'mean']]}"
Boiling point,"{'data': 'Final Boiling Point | 120 ℃', 'label': [[0, 5, 'measuring_condition'], [22, 25, 'mean'], [26, 27, 'unit']]}"
Boiling point,"{'data': 'BOILING POINT | 205 ° C 142 ° C | @ 760 mm Hg @ 100 mm Hg', 'label': [[16, 19, 'mean'], [20, 23, 'unit'], [24, 27, 'mean'], [28, 31, 'unit'], [36, 45, 'measuring_condition'], [48, 57, 'measuring_condition']]}"
header,"{'data': 'Properties | Minimum | Maximum | Unit | Test Method <header> <Properties> | <Minimum> | <Maximum> | <Unit> | <Test Method> </header>', 'label': []}"
Boiling point,"{'data': '終沸點:F.B.P | max, 300 | <header> <項目 Item> | <規範Specification> | <試驗方法 CNS ASTM> </header>', 'label': [[17, 20, 'max'], [70, 78, 'method'], [4, 9, 'measuring_condition']]}"
Boiling point,"{'data': 'Distillation Range ( °C ) | Max 5', 'label': [[21, 23, 'unit'], [32, 33, 'std']]}"
Flash point,"{'data': 'Tag Closed Cup | | 88 °C ( 191 °F ) <header> <VMP Naphtha> | <> | <Immiscible> </header>', 'label': [[0, 14, 'measuring_condition'], [19, 21, 'mean'], [22, 24, 'unit'], [27, 30, 'mean'], [31, 33, 'unit']]}"
Flash point,"{'data': 'Flash Point ( Setaflash Closed Cup | 31 °C ( 88 °F ) <header> <Property> | <Value> </header>', 'label': [[14, 34, 'measuring_condition'], [37, 39, 'mean'], [40, 42, 'unit'], [45, 47, 'mean'], [48, 50, 'unit']]}"
Boiling point,"{'data': ' | Distillation, IBP °C | 114.0 | | ASTM D 1078 ( 4 )', 'label': [[17, 20, 'measuring_condition'], [21, 23, 'unit'], [26, 31, 'mean'], [36, 47, 'method']]}"
Water Content,"{'data': 'Water, max: | | 0.05 ** | % wt | Karl Fischer <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[16, 20, 'max'], [26, 27, 'unit'], [28, 30, 'measuring_condition'], [33, 45, 'measuring_condition']]}"
Flash point,"{'data': 'Flash point | °C | 22 | | 28 | ASTM D 56 <header> <Property> | <Units> | <Min values> | <Max values> | <Typical values> | <Test method ( Latest method, unless specified otherwise ) > </header>', 'label': [[14, 16, 'unit'], [19, 21, 'min'], [31, 40, 'method']]}"
header,"{'data': 'Properties | Test Methods | | Sales Specifications <header> <Properties> | <Test Methods> | <> | <Sales Specifications> </header>', 'label': []}"
Aromatic content,"{'data': 'Aromatic content | 15 – 20 % weight', 'label': [[19, 21, 'min'], [24, 26, 'max'], [27, 28, 'unit'], [29, 35, 'measuring_conditon']]}"
header,"{'data': 'Property | Unit | Specification | Test Method | Test Method <header> <Property> | <Unit> | <Specification> | <Test Method> | <Test Method> </header>', 'label': []}"
Active %,"{'data': 'Assay, min: | 99.7 | | % wt | GC <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[14, 18, 'min'], [23, 24, 'unit'], [25, 27, 'measuring_condition'], [30, 32, 'measuring_condition']]}"
Boiling point,"{'data': 'Dry Point | | | - | 216 <header> <Properties> | <Test Methods> | <Units> | <Minimum> | <Maximum> </header>', 'label': [[0, 9, 'measuring_conditon'], [20, 23, 'max']]}"
Acid content,"{'data': 'Acidity as Acetic Acid, max | ppm m/m | 20 | ASTM D 1613 | <header> <Properties> | <Units> | <Value> | <Test Method> | <> </header>', 'label': [[30, 33, 'unit'], [34, 37, 'measuring_condition'], [40, 42, 'max'], [45, 56, 'method'], [8, 22, 'measuring_condition']]}"
header,"{'data': 'Properties Aniline Point, Mixed | Typical Value | Unit | Test Based On <header> <Properties Aniline Point, Mixed> | <Typical Value> < 15 > | <Unit> <°C> | <Test Based On> <ASTM D 611 > </header>', 'label': []}"
Water Content,"{'data': 'Water ( % m/m ) | <= 0.100 | NA - 1760 | ASTM D - 1364 <header> <Properties> | <Limits> | <Rhodia Method> | <Reference> </header>', 'label': [[8, 9, 'unit'], [10, 13, 'measuring_condition'], [21, 26, 'max'], [29, 38, 'method'], [41, 54, 'method']]}"
Boiling point,"{'data': 'Initial boiling point | °C | 228 | | | <header> <> | <Typical values> | <Typical values> | <Typical values> | <> | <DIN> </header>', 'label': [[0, 7, 'measuring_condition'], [24, 26, 'unit'], [29, 32, 'mean']]}"
Boiling point,"{'data': 'Distillation range | 195 - 230 ℃ <header> <Items> | <Specification> </header>', 'label': [[21, 24, 'min'], [27, 30, 'max'], [31, 32, 'unit']]}"
Active %,"{'data': 'Purity, % by wt ( D - 2804 ) | 99.5 min <header> <> | <SPECIFICATIONS> </header>', 'label': [[8, 9, 'unit'], [10, 15, 'measuring_condition'], [18, 26, 'method'], [31, 35, 'min']]}"
header,"{'data': 'Property | Unit | Method | Value <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': []}"
Boiling point,"{'data': 'Total distillation range at 760 mm Hg incl. 110.6 ℃ | 1 ºC max | ASTM D 850 <header> <COMPOSITION> | <SPECS> | <ANALYSIS METHOD> </header>', 'label': [[28, 51, 'measuring_condition'], [54, 55, 'max'], [56, 58, 'unit'], [65, 75, 'method']]}"
Acid content,"{'data': 'Acidity, wt. % as Acetic acid, max. | 0.01 | ASTM E - 202 ; USP XXI <header> <Property> | <Specifications> | <Test Method> </header>', 'label': [[9, 12, 'measuring_condition'], [13, 14, 'unit'], [38, 42, 'max'], [45, 67, 'method'], [18, 29, 'measuring_condition']]}"
Boiling point,"{'data': 'Distillation range at 760 mm Hg ( °C ) | <header> <Appearance at 25 ºC> | <Clear liquid> </header>', 'label': [[22, 31, 'measuring_condition'], [34, 36, 'unit']]}"
Acid content,"{'data': 'Acidity | | <header> <Property> | <Test Method Typical Value, Units> | <Test Method Typical Value, Units> </header>', 'label': []}"
header,"{'data': 'Typical Properties | Test Method | Units | Typical Value <header> <Typical Properties> | <Test Method> | <Units> | <Typical Value> </header>', 'label': []}"
stray,"{'data': ' | ( ℃ ) | 246 Min, | 256. 0 <header> <Item> <Appearance> | <> | <Specification> <Clear Liquid> | <Result> <Pass> </header>', 'label': []}"
Active %,"{'data': 'Assay | 99.8 min <header> <> | <SPECIFICATIONS> </header>', 'label': [[8, 12, 'min']]}"
Boiling point,"{'data': 'Boiling point @ 760 mmHg, 1.01 bar | | | 347 °F | 175 °C', 'label': [[16, 34, 'measuring_condition'], [41, 44, 'mean'], [45, 47, 'unit'], [50, 53, 'mean'], [54, 56, 'unit']]}"
Active %,"{'data': 'PURITY WT PCT≥ % | 99.5 <header> <ITEM> | <B> </header>', 'label': [[7, 13, 'measuring_condition'], [15, 16, 'unit'], [19, 23, 'min']]}"
Acid content,"{'data': ' | Acidity as Acetic acid | % m/m | | | 0.003 ASTM D 1613 | 0.003 ASTM D 1613 | 0.003 ASTM D 1613', 'label': [[11, 25, 'measuring_condition'], [28, 29, 'unit'], [30, 33, 'measuring_condition'], [40, 45, 'mean'], [46, 57, 'method'], [60, 65, 'mean'], [66, 77, 'method'], [80, 85, 'mean'], [86, 97, 'method']]}"
Water Content,"{'data': 'Water | % m/m | ASTM D 1364 | 0.05 <header> <Property> | <Unit> | <Method> | <Value> </header>', 'label': [[30, 34, 'mean'], [16, 27, 'method'], [10, 13, 'measuring_condition'], [8, 9, 'unit']]}"
Acid content,"{'data': 'Acidity as Acetic Acid | 0.003 wt % max. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 22, 'measuring_condition'], [25, 30, 'max'], [31, 33, 'measuring_condition'], [34, 35, 'unit']]}"
Aromatic content,"{'data': 'Aromatic value | % v/v | 15 - 17 % | ASTM D 1319 <header> <PROPERTIES> | <UNITS> | <VALUE> | <METHOD> </header>', 'label': [[17, 18, 'unit'], [25, 27, 'min'], [30, 32, 'max'], [33, 34, 'unit'], [37, 48, 'method'], [19, 22, 'measuring_condition']]}"
Acid content,"{'data': 'Acidity, ppm ( spec. ion probe ) | 3.0 ppm maximum', 'label': [[35, 38, 'max'], [39, 42, 'unit'], [9, 12, 'unit'], [15, 30, 'measuring_condition']]}"
header,"{'data': 'Specification | Index | Index <header> <Specification> | <Index> <TECH GRADE> | <Index> <HIGH GRADE> </header>', 'label': []}"
Boiling point,"{'data': 'Distillation range | Distillation range | : 180 – 215 | ˚C', 'label': [[44, 47, 'min'], [50, 53, 'max'], [56, 58, 'unit']]}"
multi,"{'data': '60 | 12.5 | 0.8665 | 1.3 | 2.55 | <header> <T [ °C ] > | <Vapour pressure P [ mbar ] > | <Density r [ g/cm 3 ] > | <Viscosity p [ mPa·s ] > | <Specific heat Cr [ kJ/ ( kg·K ) ] > | <x [ mN/m ] Surface tension> </header>', 'label': []}"
Water Content,"{'data': 'Wt % Water | | 71.9 wt % <header> <Property> | <Test Method> | <Typical Value, Units> </header>', 'label': [[15, 19, 'mean'], [20, 22, 'measuring_condition'], [23, 24, 'unit'], [0, 2, 'measuring_condition'], [3, 4, 'unit']]}"
Active %,"{'data': 'GC Assay % d - Limonene | 94.0 – 98.5 <header> <Analysis - > | <Specification> </header>', 'label': [[26, 30, 'min'], [33, 37, 'max'], [0, 2, 'method'], [9, 10, 'method']]}"
Flash point,"{'data': 'Flash Point | ACC | º℃ | 84 <header> <Parameter> | <Conditions> | <Units> | <Value> </header>', 'label': [[14, 17, 'measuring_condition'], [21, 22, 'unit'], [25, 27, 'mean']]}"
Boiling point,"{'data': 'Boiling point @ 760 mmHg, 1.01 bar | 295 °F | 146 °C', 'label': [[16, 34, 'measuring_condition'], [37, 40, 'mean'], [41, 43, 'unit'], [46, 49, 'mean'], [50, 52, 'unit']]}"
Boiling point,"{'data': '50 % point | °C | ASTM D 86 | 162 <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <TYPICAL VALUES> </header>', 'label': [[13, 15, 'unit'], [18, 27, 'method'], [30, 33, 'mean'], [0, 10, 'measuring_condition']]}"
Flash point,"{'data': 'Flash point | ( closed test ) 25 ℃', 'label': [[16, 27, 'measuring_conditon'], [30, 32, 'mean'], [33, 34, 'unit']]}"
Boiling point,"{'data': 'Boiling point | | ℃ | 193.5 <header> <Parameter> | <Conditions> | <Units> | <Value> </header>', 'label': [[22, 27, 'mean'], [18, 19, 'unit']]}"
header,"{'data': 'SPECIFICATIONS | TYPICALS* | A', 'label': []}"
Boiling point,"{'data': 'Distillation, IBP | °C | ASTM D 1078 | 150.0 | | <header> <Property> | <Unit> | <Method> | <Min> | <Max> | <Notes> </header>', 'label': [[14, 17, 'measuring_condition'], [20, 22, 'unit'], [25, 36, 'method'], [39, 44, 'min']]}"
Acid content,"{'data': 'Acid Number, max. | 0.30 | 1.00 | 1.00 | 0.50 | 0.50 | 1.00 | 0.50 | 0.30 <header> <Typical Compositions, wt % > | <FlexiSolv® DBE® esters> | <FlexiSolv® DBE® - 2 esters> | <FlexiSolv® DBE® - 3 esters> | <FlexiSolv® DBE® - 4 ester> | <FlexiSolv® DBE® - 5 ester> | <FlexiSolv® DBE® - 6 ester> | <FlexiSolv® DBE® - 9 esters> | <FlexiSolv® DBE® - WS esters> </header>', 'label': [[20, 24, 'max'], [27, 31, 'max'], [34, 38, 'max'], [41, 45, 'max'], [48, 52, 'max'], [55, 59, 'max'], [62, 66, 'max'], [69, 73, 'max']]}"
Aromatic content,"{'data': 'Composition, Volume % Aromatics | 8 - 22 | <header> <> | <SPECIFICATIONS> | <TYPICAL*> </header>', 'label': [[13, 19, 'measuring_condition'], [20, 21, 'unit'], [34, 35, 'min'], [38, 40, 'max']]}"
header,"{'data': 'MEASURES | UNITS | MEASURES METHODS | TYPICAL VALUES <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <TYPICAL VALUES> </header>', 'label': []}"
Active %,"{'data': 'Assay | 99.5 wt % min. <header> <Property> | <Typical Value, Units> </header>', 'label': [[8, 12, 'min'], [13, 15, 'measuring_condition'], [16, 17, 'unit']]}"
Boiling point,"{'data': 'Dry Point | o C | 162.0 max | 162.0 max <header> <Parameter> | <Units> | <Limits> | <Limits> </header>', 'label': [[18, 23, 'max'], [30, 35, 'max'], [0, 9, 'measuring_condition'], [12, 15, 'unit']]}"
Acid content,"{'data': 'Acidity ( acetic acid as basis ) | Wt. % | ASTM D 1613 | 0.005 Max <header> <Characteristic> | <Unit> | <Test Method> | <Specification> </header>', 'label': [[10, 30, 'measuring_condition'], [35, 38, 'measuring_condition'], [39, 40, 'unit'], [43, 54, 'method'], [57, 62, 'max']]}"
Active %,"{'data': 'Assay, min: | 99.5 | | % wt | GC <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[14, 18, 'min'], [23, 24, 'unit'], [25, 27, 'measuring_condition'], [30, 32, 'measuring_condition']]}"
