text,label,jsonl_data
l General industrial coatings | l Inert - Food use with limitations ,irrelevant,
Ester content | 99.0% min ,irrelevant,
Transport | PP Drums 210kg,irrelevant,
Product | Appearance @ 25°C | Pt-Co Color | Density 20/20°C | Water (%wt.) | Acidity as Acetic Acid (ppm) | Boiling Pt. (°C) @ 760mm Hg ,multi_header,
Vapor Pressure |,irrelevant,
Water | % m/m | ASTM D1364 | 0.03 ,Water Content,
Flash Point Tag Closed Cup | 29 °C (85 °F) ,Flash point,
"Acidity, wt % | ASTM D1613 | 0.01 Max ",Acid content,
CAS-Numbers | Di-isobutyl succinate ,irrelevant,
Reacción Doctor | Negativa | Negativa | ASTM D 4952 ,irrelevant,
Water Content | ppm |  | 500 | TM 4 ,Water Content,
"Colour, max | Pt-Co | 25.0 | ASTM D 1209 |  ",irrelevant,
TEST | METHOD | SPECIFICATION ,header,
"Can be obtained in bulk, container, drums and cans. Other packaging are available on request. |",irrelevant,
Boiling Point @ 760 mm Hg Initial |  ,Boiling point,
Acidity | max. 0.01% weight,Acid content,
Sales Specification | Acidity as Acetic acid | %m/m | 0.002 | ASTM D1613,Acid content,
Property | Unit | Method | Min | Max | Notes ,header,
Normal Butanol | Wt. % | HY 221 | 99.8 Min ,irrelevant,
"Flammability Limits in Air, % by Volume Lower @ 88°C | 1.05 Vol %",irrelevant,
Azeotropes |  ,irrelevant,
(Revision 6: July 2005) | *In-house available on request,irrelevant,
Color |  ,irrelevant,
Evaporation heat 25°C | - | kJ/kg | 335 ,irrelevant,
"Water Content, max | Wt % | 0.15 | ASTM D 1364 |  ",Water Content,
Chemical and Physical Properties | Unit | Specification ,header,
Water | ≤ 0.2 % ,Water Content,
Parameters | Min | Max | Units | Method ,header,
Appearance | • Clear/Transparent |  |  ,irrelevant,
Non-Volatile Residue | ASTM D 1353 | g/100ml | 0.002 max ,irrelevant,
Aniliinipiste Anilinpunkt Aniline point | °C |  |  | 70 | ISO 2977 ,irrelevant,
Flash po int | °C | ASTM D 56 | 40 min ,Flash point,
Heat of vaporization (J/g) at normal boiling point |  | 276,irrelevant,
Index | High grade | First grade | Qualified grade ,header,
"ALCOHOL CONTENT, % | GC METHOD | 0.5 | 0.4 ",irrelevant,
Explosion Limit: Upper | %v/v | - | 9.0 ,irrelevant,
Colour (Pt-Co) | Colour (Pt-Co) | (ASTM D 1209) : max. 10 ,irrelevant,
Heat of Vaporization | 11330 cal/g·mol ,irrelevant,
• | U.S. EPA 4A Inert Approved Solvent | Vapor Density………………………..4.07 Boiling Point………………………...309 F CAS No: …………………………97-64-3,multi,
Distillation Range |  |  | ASTM D86 ,Boiling point,
4 | Cycloohexanol | 0.1max | % | ME-31054 ,irrelevant,
Tag Closed Cup | 39°C (102°F) ,Flash point,
Produkt-Bezeichnung: | n-Butanol |  |  |  ,irrelevant,
Polar | 5.1 | 2.9 ,irrelevant,
Density at 20°C | 0.987 – 0.993,irrelevant,
Molecular Weight | 130.23 ,irrelevant,
Empirical Formula | C7H14O3 ,irrelevant,
"RANGO DE DESTILACIÓN (C, 5-95%, 1013 mbar), % Distillation range (C, 5-95%, 1013 mbar), % | 145 - 160 ",irrelevant,
Net heat of combustion (kJ/g) — predicted @ 25°C |  | 29.7,irrelevant,
Thermal Conductivity (25℃) |  | 1.33 W/cm-℃ | 1.13 BTU-in/ft.2 hrºF ,irrelevant,
Maximum Incremental Reactivity (MIR) | 2.8 ,irrelevant,
Water in solvent |  |  |  | 4.7 (4.5 %)wt,irrelevant,
"Viscosity at 20°C | DIN 51562 | mm²/s | 1,1 - 1,3 ",irrelevant,
(ether = 1) | 7.1 ,irrelevant,
Hydrogen bonding index | Hydrogen bonding index | Hydrogen bonding index |  |  | 8.2 ,irrelevant,
SAFETY REGULATION |,irrelevant,
Freezing Point | °C | - | -85 ,irrelevant,
 |  |  |  |  ,irrelevant,
". . . PUREZA, %, mín. Purity, %, min. | . 99,9 ",Active %,
Molecular Weight | 74.09 ,irrelevant,
Parameters | Min | Max | Units | Method ,header,
"Composition, Volume % Aromatics | 95 min | 99 ",Aromatic content,
Dilution Ratio: Toluene | - | ASTM D1720 | 3.2 | 3.2 ,irrelevant,
Boilinge range |  |  ,Boiling point,
90% Boiling Point |  |  | 209 max ,Boiling point,
"2. | Density at 20°C (g/cm3 ) | 0,789-0,810 | 0,790 ",irrelevant,
Propriedades Físicas | Propriedades Físicas,header,
Sulfur | ppm |  | 5 ,irrelevant,
APPEARANCE |  ,irrelevant,
Dry point : | 156 °C,Boiling point,
Colour | Pt-Co | 10 max | D1209 | 6271 | 1557 ,irrelevant,
Water (%) | 0.1 Max | ASTM E203/ASTM D1364 ,irrelevant,
Litres/tonne at 15℃ | 1155 | 1150 | 1142 | 1111 | 1007 ,irrelevant,
"Dry point | 90.0 °C, maximum",Boiling point,
Specific Gravity @ 20°C/20°C | 0.83 ,irrelevant,
Appearance |  | Colourless Liquid | Pass ,irrelevant,
Non-Volatile Matter(mg/100 mL) | <=5.00 | NA-0238 | ASTM D-1353 ,irrelevant,
Product Code | S1215 |  |  |,irrelevant,
General Acidity as Acetic Acid | 0.003 wt % max.,Acid content,
"Solubility in Water, @ 20°C Water in, @ 20°C | 0.05 wt % 0.7 wt % ",irrelevant,
Sales Specification | Property Unit Min Max Method Purity %m/m 99.4 ASTM D2804 | Property Unit Min Max Method Purity %m/m 99.4 ASTM D2804,header,
CAS Registry Number EINECS Number | 64742-47-8 265-149-8 | 64742-47-8 265-149-8 | 64742-47-8 265-149-8 ,irrelevant,
Copper Corrosion | ASTM D849 |  | Pass (1A or 1B) ,irrelevant,
Antoine Constants: Temperature range | °C | - | +80 to +215 ,irrelevant,
"Distillation Range, max: |  |  | oC | ASTM D1078 ",Boiling point,
Ecotoxicity Testing | Complete – very low aquatic toxicity ,irrelevant,
Hansen solubility parameters |  |  |  ,irrelevant,
Distilla tion range | °C | A ASTM D 86 |  ,Boiling point,
ANILINE POINT oC |  | ASTM D 611 | 68 ,irrelevant,
"CORROSAO AO COBRE 3H/100°C | adm | ASTM D 130 | 1,00 | - | 1,00 ",irrelevant,
Kauri-Butanol Value | - | ASTM D1133 | 31,irrelevant,
Kuparikorroosio Kopparkorrosion Copper strip corrosion |  |  | 1b | 1a | EN ISO 2160 ,irrelevant,
"Color, Pt-Co (D-1209) | 10 max",irrelevant,
Empirical Formula | C7 H14O ,irrelevant,
Density at 20°C | 0.950 – 0.962,irrelevant,
Bromi-indeksi Bromindex Bromine index |  |  |  | < 20 | ASTM D 2710 ,irrelevant,
"Typical Properties | Distillation, IBP | °C ASTM D86 | 178 ",Boiling point,
"Typical Properties | Distillation, IBP | °C | ASTM D86 | 188 ",Boiling point,
- | Evaporation rate | nBAc=1 | <0.001 | - ,irrelevant,
"Kinematic viscosity at 100°C | (ASTM D 445) | mm2 /s | 4,8 ",irrelevant,
"Refractive Index (nD, 20°C) | 1,474 – 1,484",irrelevant,
(ether = 1) | 605.1 ,irrelevant,
Appearance | Liquid ,irrelevant,
DOT Identification No. | Not Regulated,irrelevant,
 | 6. Naphtenes | 6. Naphtenes | 6. Naphtenes | 6. Naphtenes | %v/v | 15-20 | G.C ,irrelevant,
Property | Value ,header,
COLOUR (SOYBOLT) | ASTMD 156 | +30 ,irrelevant,
VMP Naphtha | 1.2 ,irrelevant,
" | Antoine Constant A # | kPa, °C | - | 7.51210 ",irrelevant,
Flash Point | : | 44°C |  |  |  ,Flash point,
Doctortest | IP 30 | - | N ,irrelevant,
Flash po int | °C | ASTM D 93 | 56 - 63 ,Flash point,
Closed Cup Flash Point °F | 138 ,Flash point,
Flash Point GT (SETA) o F | 275º ,Flash point,
"Distillation, IBP | °C | ASTM D86 | 198 ",Boiling point,
@ 55°C |  | 1.4 KPa ,irrelevant,
Requirements | Specification ,header,
 | Water Content | Wt % | 0.20 max. | JIS K 0068 ,Water Content,
Sales Specification | Dimethylketone mg/kg |  | 1000 | ASTM D3329,irrelevant,
Surface Tension @ 20°C | 28.9 dynes/cm,irrelevant,
Appeara ance | - | EC A A01 - - | Bright & Clea ar ,irrelevant,
"Description | ShellSol H is a low aromatic white spirit with a flash point above 61ºC, higher than conventional Low Aromatic White Spirit. | ShellSol H is a low aromatic white spirit with a flash point above 61ºC, higher than conventional Low Aromatic White Spirit. | ShellSol H is a low aromatic white spirit with a flash point above 61ºC, higher than conventional Low Aromatic White Spirit. | ShellSol H is a low aromatic white spirit with a flash point above 61ºC, higher than conventional Low Aromatic White Spirit. ",irrelevant,
Surface Tension @ 20°C | 28.9 dynes/cm ,irrelevant,
Distilla tion range | °C | AS STM D 86 |  ,Boiling point,
Analysis tool | GC7820A Agilent GC7820A | Detector | FID(hydrogen flame) 300℃ ,irrelevant,
Explosion Limit: Lower | %v/v | - | 1.2 ,irrelevant,
"Density | 1,000 g/cm3",irrelevant,
CONCENTRATION |  ,irrelevant,
"Dielectric Constant, csu @ 25o C | 64 ",irrelevant,
Pour Point | °C | ASTM D97 | < -50 ,irrelevant,
FLASH POINT oC | 41 | IP 170 | 42 ,Flash point,
Abt. QM | created: 07.01.2005,irrelevant,
Electrical Conductivity @20°C | µS/m | ASTM D4308 | 30 ,irrelevant,
Acid as Acetic | % wt | 0.005 MAX ,Acid content,
Typical Properties | Sulfur mg/kg | SMS 1897 | < 1 ,irrelevant,
FORMULA: | C3H6O3,irrelevant,
Solubility |  ,irrelevant,
Surface tension (dynes/cm or mN/m @ 20°C) | 28.8 ,irrelevant,
Refractive index at 20°C |  | 1.417-1.422 |  ,irrelevant,
Product Code | S2111 North America |  |  ,irrelevant,
Specification for product Diacetone Alcohol | Specification for product Diacetone Alcohol | Effective Date | 3/9/2013 ,irrelevant,
Viscosity @20°C | mPa.s | ASTM D445 | 2.9 | 2.9 ,irrelevant,
· · · · · · · | 26.5,irrelevant,
Freezing Point (°C) | -20 |  ,irrelevant,
"Transparence: | ≥ 90% (390nm, 40mm)",irrelevant,
Colour Pt/Co | - | < 20 | ASTM D 1209 ,irrelevant,
Benzen ne content | mg/kg | G GC2 | <3 ,irrelevant,
"Non Volatile Residue, wt % | 0.0020 wt % maximum",irrelevant,
Molecular weight [g/mol] | 113.16 ,irrelevant,
"ACIDEZ (como AcOH), % p, máx Acidity (as AcOH) Acidité (comme AcOH) | 0,002 0,3 ",Acid content,
Typical Properties | Non Volatile Matter | mg/100ml | ASTM D1353 | 1 ,irrelevant,
"Composition, Volume % Aromatics |  | < 1.0 ",Aromatic content,
Flash Point Tag Closed Cup | 16 °C (60 °F) ,Flash point,
Heat of Combustion | -583.4 kcal/g·mol ,irrelevant,
Surface Tension @ 20°C | 25.8 dynes/cm,irrelevant,
as Acetic Acid |  | 0.01 wt % max. ,Acid content,
Bentseenipitoisuus Bensenhalt Benzene content | mg/l |  | 100 | < 1 | NM 111 ,irrelevant,
Artículo: | P-451 . | P-451 .,irrelevant,
Corrosion Copper Strip (3hrs/100℃) | Class | ASTM D 130-10 | Max. No. 1 | 1b ,irrelevant,
Acid number | mg KOH/g | Max. 1.0 ,Acid content,
Liquid Density @ 20°C | 0.8155 g/cm3 ,irrelevant,
Distillation | °C | ASTM D 86 |  ,Boiling point,
Dry Point | 172°C (342°F) ,Boiling point,
_p (Polar) |  | 16.00 ,irrelevant,
Density at 20 °C (DIN 51 757 method D) | g/cm3 | 0.920 – 0.922 ,irrelevant,
Color Pt-Co | 10 max. ,irrelevant,
"Boiling Range, °C | 195 - 205 ",Boiling point,
Blush Resistance @ 80°F (26.7°C) | 78% RH ,irrelevant,
Critical Temperature | 262.8°C ,irrelevant,
"Packaging | In bulk, PE drums, IBCs",irrelevant,
Properties | Units | Limits | Test Methods | Test Methods | Test Methods ,header,
Antoine Constants: Temperature range | °C | - | -40 to +90 ,irrelevant,
Net heat of combustion (kJ/g) — predicted @ 25°C | 30.0 ,irrelevant,
Physical Properties Molecular Weight | 159a | 163a | 173a | 146 | 160 | 174 | 156a | 160 ,irrelevant,
(n-butyl acetate = 1) | 0.002 ,irrelevant,
Hildebrand Solubility Parameter | (cal/cm³)^½ | - | 7.6,irrelevant,
Wt/Vol @ 20°C | Wt/Vol @ 20°C | 0.92 kg/L (7.69 lb/gal) ,irrelevant,
"Color (APHA, as is, W657) | 40 Maximum ",irrelevant,
"Specific Gravity, 20º/20º C (D-268) | 0.921 - 0.923 ",irrelevant,
Acidity as Acetic Acid | % by weight | 0.005 max ,Acid content,
Distillation | I.B.Pt. | ASTM D1078 | °C | 145.0 |  |  ,Boiling point,
Vapor pressure@ 20°C — extrapolated |  | 2.8 mmHg 3.7 mbar,irrelevant,
Boiling range | at 1013 hPa; 95 Vol.-%; 2 – 97 ml | 124 – 127°C | DIN 53171 ,Boiling point,
Lower Explosion Limit in Air | % v/v |  | 0.6 ,irrelevant,
Product Code | Q7712 Europe | Q7712 Europe |  ,irrelevant,
Complete material safety data sheet available on request. | Complete material safety data sheet available on request. | Complete material safety data sheet available on request. ,irrelevant,
"Antoine Constant A # | kPa, °C | - | 7.51525 ",irrelevant,
(ether = 1) | 136,irrelevant,
TYPICAL PHYSICAL CHARACTERISTICS (not a specification) | TYPICAL PHYSICAL CHARACTERISTICS (not a specification) | TYPICAL PHYSICAL CHARACTERISTICS (not a specification) | TYPICAL PHYSICAL CHARACTERISTICS (not a specification) ,irrelevant,
Refractive Index @ 20℃ |  | 1.41 ,irrelevant,
2. COLOUR | below 1 ASTM. D. 1500-82,irrelevant,
Specific Gravity at 20/20℃ | g/ml | 1.114 - 1.116 | ASTM D4052 ,irrelevant,
Appearance | Free & Clear ,irrelevant,
Water | % m/m | ASTM D1364 | < 0.005 ,Water Content,
Wt % Water |  | 63 wt % ,Water Content,
Solvent in water |  | 6.5,irrelevant,
Iron (Fe) | 100 ppb ,irrelevant,
Abdampfrückstand Evaporation residue | % | max. 0.01 ,irrelevant,
acid value (DIN EN ISO 3682) | <= 1 mg KOH/g,Acid content,
"Water Solubility in DMEs, wt. % | 3.3 | 3.2 | 2.8 | 4.0 | 2.9 | 2.9 ",irrelevant,
Kinematic Viscosity (77.0ºF (25.0℃)) | 1.23 | cSt | 1.23 mm2/s | ASTM D445 ,irrelevant,
Pt-Co | 10 max. ,irrelevant,
Specifications: | Unit: | Limits: | Test Methods: ,header,
Sample Delivery Date : 05.12.2016 | Type of Test | : Complete Test,irrelevant,
F.T.I.R |  | Characteristic | Characteristic | TM 24 ,irrelevant,
Distillation at 101.3 kPa: | °C | 97.3 | D1078 | 918 |  ,Boiling point,
number pressure at 20 °C | % (w/w) 160 mbar 1.3,irrelevant,
"Density(P20,G/CM3) | 0.878-0.883 | GC ",irrelevant,
Auto Ignition Temperature | °C | ASTM E659 | 515 ,irrelevant,
DENSITY AT 15oC g/ml | 0.770 | ASTM D 4052 | 0.7738 ,irrelevant,
Acidity | max. 0.01% weight,Acid content,
3. RELATIVE DENSITY (at 15℃) | 0.996 ASTM.D. 4052-82 (Typical),irrelevant,
Dry point | °C | 194 |  |  |  ,Boiling point,
Boiling Point @ 760 mm Hg | 106-109°C (223-228°F) ,Boiling point,
Aniliinipiste Anilinpunkt Aniline point | °C |  |  | 66 | ISO 2977 ,irrelevant,
"Methanol, max | Wt ppm | 500 | GC |  ",irrelevant,
Chemical Structure | Chemical Structure | : | 八人,irrelevant,
"Distillation @ 760mm Hg IBP, min. DP, max. | 215 C O 240 C O | ASTM D-1078; E-202 ",Boiling point,
Heat of vaporization at 1013 hPa | J/g | 116 ,irrelevant,
Typical Properties | Cubic Expansion Coefficient @20°C | (10^-4)/°C Calculated | 13 ,irrelevant,
Flash point (℃) | Flash point (℃) | Open cup (TAG). | 23.00,Flash point,
Non Volatile Matter | mg/100mL | ASTM D1353 | 1 ,irrelevant,
Volume expansion coefficient [10-4/K] at | 100 °C :unselected: | 9.42 |  ,irrelevant,
Specific gravity (25/25°C) |  | 0.901,irrelevant,
Flash p point | °C | A ASTM D 93 | 59 ,Flash point,
"Freezing point (al 1013 mbar) | . - 42 ""℃",irrelevant,
Property | Value | Unit | Test method DIN/ASTM ,header,
"*corresponds to max. 0,08 % isobutyric acid or max. 0,05 % acetic acid |  |  |  ",irrelevant,
"Solubility, g/100 g @ 25°C |  |  |  |",irrelevant,
" | Antoine Constant B # | kPa, °C | - | 2009.16 ",irrelevant,
Vapor Density (air = 1) | 2.6 ,irrelevant,
Created by: | G. Arnold | Creation date: | 05.10.2007 ,irrelevant,
Freezing point | 0 -83 F | -64 C 0,irrelevant,
Dimethyl Succinate % | 15-25 ,irrelevant,
PACKING |,irrelevant,
 | Appearance | Clear & Free From Suspended Matter ASTM D4176 | Clear & Free From Suspended Matter ASTM D4176 | Clear & Free From Suspended Matter ASTM D4176 | Clear & Free From Suspended Matter ASTM D4176 | Clear & Free From Suspended Matter ASTM D4176 | Clear & Free From Suspended Matter ASTM D4176,irrelevant,
Specific Gravity at 60ºF (D-891) | 0.865 - 0.882 0.8756,irrelevant,
Density at 15 °C | kg/m³ | ASTM D 4052 | 770 | 770 ,irrelevant,
Explosion Limit: Upper | %v/v | - | 8.0 ,irrelevant,
"density (DIN 51757, 20°C) | ~ 0.96 g/cm3",irrelevant,
Specific Gravity @15.6°C/15.6°C [60°F/60°F] - | ASTM D4052 | 0.785 ,irrelevant,
Evaporation rate | ether = 1 | 33 | DIN 53170 ,irrelevant,
10% |  | 376 |  | 401 ,irrelevant,
DP | ASTM D 1078 | °C | 117 max ,Boiling point,
Distillation @ 760mm Hg |  | ASTM D-1078 E-202 ,Boiling point,
 | Lower explosive limit %(v/v) | 1.7 ,irrelevant,
- Methoxypropyl Acetate in water | - Methoxypropyl Acetate in water | Approx. 22% wt |  ,irrelevant,
Metalworking Mold release agent |  ,irrelevant,
Freezing Point | -83 °C (-117°F) ,irrelevant,
Colour Saybolt | ASTM 156 | - | min. 28 ,irrelevant,
Properties | Condition & Unit | Specifications ,header,
"EU-GL.A.3 | 0,9732 g/cm³",irrelevant,
UPPER | 12.1 vol % |  |  ,irrelevant,
Aromatic Content (HPLC) | 99 | wt% | 99 wt% | ExxonMobil Method ,Aromatic content,
Polar | 1.6 ,irrelevant,
Initial |  | ºC | 158 ,Boiling point,
Data Sheet | CAS Registry Number : 78-92-2 Re-Issued: 15-Jan-2004 | CAS Registry Number : 78-92-2 Re-Issued: 15-Jan-2004 | CAS Registry Number : 78-92-2 Re-Issued: 15-Jan-2004 ,irrelevant,
Flash Point (Method A) | 235 | °F | 113 °C | ASTM D93 ,Flash point,
_p (Polar) |  | 16.00,irrelevant,
"Distillation, Initial Boiling Point ℃ (""F) | BRCP 4330 | 162 (324) min. ",Boiling point,
VAPOR PRESSURE @ 20 C | TORR |  | 49 | D-5191 ,irrelevant,
 |  | min. | max. |  |  ,irrelevant,
Flash point (IP170) : | 24 – 29°C,Flash point,
Water absorption at 20 °C :unselected: | % (w/w) | ∞ ,irrelevant,
Flash point | approx. 28 |  |  ,Flash point,
水溶性： | 部分水溶,irrelevant,
"Acidity, max as acetic acid: |  | 0.003 | %m/m | ASTM D1613 ",Acid content,
"Purity, % by wt | 95.0 min",Active %,
Water in solvent |  |  |  | -,irrelevant,
"Di Ethyl Ether, max | Wt ppm | 10 | GC |  ",irrelevant,
Density at 30°C | kg/L | ASTM D4052 | Report |  |  ,irrelevant,
Parchem Order #: | 24434,irrelevant,
Properties | Typical Value | (English) | Typical Value | (SI) | Test Based On ,header,
VMP Naphtha | 1.2 ,irrelevant,
Ethyl Acetate Purity | ASTM D 3545-06 | % weight | 99.8 min ,irrelevant,
Liquid Viscosity @ 20°C | 1 cP (mPa·s) ,irrelevant,
"Appearance, Room Temperature | liquid ",irrelevant,
"Refractive index | nD 20°C | 1,475-1,484 |  | DIN 51423-02 ",irrelevant,
Freezing Point | -50 °C (-58°F) ,irrelevant,
 | SPECIFICATIONS ,irrelevant,
COLOR (Pt-Co) | 10MAX | ASTM ,irrelevant,
Solubility in water | Insoluble | Refractive index | N20/D 1.4418 (lit) ,irrelevant,
Vapour pressure at 20 °C | mbar | 1.3 ,irrelevant,
General | General,irrelevant,
Kin. Viscosity at 100°C :unselected: | mm2 /s | ASTM D 445 | 2-4 | 3.4 ,irrelevant,
Comments | NONE |  |  |  |  ,irrelevant,
Freezing Point | -84°C (-119°F) ,irrelevant,
Property | Test Method | Unit | Specification,header,
Empirical Formula | C12H24O3 ,irrelevant,
Surface Tension @ 20°C | 30 mN/m ,irrelevant,
(dynes/cm at 20°C) (dynes/cm at 25°C) | 23.0 - ,irrelevant,
NFPA Classification 30 | IIIA ,irrelevant,
Head Office | Durban Office | Sasol Chemicals North America | Sasol Germany GmbH | Sasol Chemicals Pacific Ltd. ,irrelevant,
"Tislauksen loppupiste Destillation, slutkokpunkt Distillation, final boiling point | °C |  | 225 | 221 | EN ISO 3405 ",irrelevant,
Percent Primary Alcohol | <2%,irrelevant,
Color Pt-Co | 15 max. ,irrelevant,
Sp. gravity | 0.891-0.899,irrelevant,
Dimethyl Adipate | 8.0 – 22.0 | 540MA3C71 ,irrelevant,
Auto Ignition Temperature | °C | ASTM E659 | 430 ,irrelevant,
"Water content, max | % mass/mass | 0.27 | ASTM D1364 |  ",Water Content,
Vapor Density (air = 1) | 7.5 ,irrelevant,
Destillation range at 1013 hPa | Degr.C. | 185 - 213 ,Boiling point,
Density | -83°C (-117.4°F),irrelevant,
Recovery | % Vol | 97 min ,irrelevant,
Relative Evaporation Rate (Ether=1) | - | DIN 53170 | 33 ,irrelevant,
Ignition temperature (liquids) | EU-GL.A.15 | 383 °C ,irrelevant,
%Wt Water in | 1.9 ,irrelevant,
Colour |  | Light yellow | Light yellow | Visual ,irrelevant,
"Water | max. 0.05 | % (w/w) | DIN 51 777 / ASTM D 1364 (mod. Karl-Fischer-Method) | x :selected:
:unselected: ",Water Content,
"Non-Aromatic, % wt | ASTM D2360 | max 2 ",irrelevant,
Typical Properties | Refractive Index @20°C | - | ASTM D1218 | 1.433 ,irrelevant,
90 | 698 |  |  |  |  ,multi,
"Refractive index at 20℃ | n/D20 | 1,420 - 1,440 | ASTM D1218 ",irrelevant,
FORMULA : C6H12O | FORMULA : C6H12O | FORMULA : C6H12O | (CAS : | 108-10-1 / EINECS : 203-550-1) ,irrelevant,
Pour Point | °C | ASTM D97 | < -50 ,irrelevant,
Acidity as CH3COOH | mass % | max 0.001 | D1613 |  | DIN 55652 ,Acid content,
Molecular weight (g/mol) |  | 204.3,irrelevant,
"Distillation IBP : | min. 81,8 ˚C",Boiling point,
Residue on evaporation (NVM): |  | 0.001% | wt | ASTM D1353 ,irrelevant,
"Boiling point @ 760 mmHg, 1.01 bar | 300°F | 149°C",Boiling point,
Acid number (mg KOH/g) | 0.1 max | OPTI100 ,Acid content,
Distillation | Minimum | Maximum | Unit | Test Method ,header,
"Pounds per Gallon, 20℃ | 11.20 ",irrelevant,
Autoignition temperature | 345 °C (653 °F),irrelevant,
Sulphur | mg/kg | 1 max | 3002-04013 Coulometric ,irrelevant,
Isopropanol | 10 gallons,irrelevant,
Parameter | Unit | Min.Value | Max.Value ,header,
Typical Properties | Density @15℃ | kg/L ASTM D4052 0.728 | kg/L ASTM D4052 0.728 | kg/L ASTM D4052 0.728 ,irrelevant,
Critical temperature [°C] | 449 ,irrelevant,
Limites d’explosivité (en volume dans l’air) / Explosivity limits (volume in air) : |,irrelevant,
Appearance | Clear and Bright | Visual,irrelevant,
"2 Sturdee Avenue | The Marine - Suite 1101 | 900 Threadneedle, Suite 100 | Anckelmannsplatz 1 | #2409 Shui On Centre ",irrelevant,
T [°C] | Specific heat Cp [kj/(kg·K)] | Surface tension ο [mN/m] ,irrelevant,
"Color, APHA, max | 15 | ASTM E-202; D-1209 ",irrelevant,
Ester Content (%wt) | 99.00 Min ,irrelevant,
Liquid Heat Capacity @ 25°C | 110.74 cal/(g*mol)(°C) ,irrelevant,
Typical Properties | Property Color | Unit Method Value Saybolt ASTM D156 +30 | Unit Method Value Saybolt ASTM D156 +30 | Unit Method Value Saybolt ASTM D156 +30 ,header,
Hansen Solubility Parameters |  ,irrelevant,
CLARITY OF SOLUTION(1+30): | CLEAR ,irrelevant,
Solubility | Soluble in water and various organic solvents. | Soluble in water and various organic solvents.,irrelevant,
Viscosity at 25 degr. C | mPa.s | approx. 1.18 ,irrelevant,
TSCA (U.S.) | 29911-28-2,irrelevant,
Colour | & 20 Max,irrelevant,
Wt % Water | 24.3 wt % ,Water Content,
Vapour pressure at 20 °C | mbar | 1.3 ,irrelevant,
Copper Corrosion (1hr @100°C) - | ASTM D130 | 1a ,irrelevant,
160 | 405.6 | 0.8001 | 0.32 | 2.242 ,multi,
Vapor pressure@ 20°C — extrapolated | 0.85 mmHg (1.05 mmHg @ 25°C) 1.39 hPa ,irrelevant,
Blush Resistance @ 80°F (26.7°C) | 95% RH ,irrelevant,
Boiling Point @ 760 mm Hg |  |  ,Boiling point,
"Kg per Liter, 20℃ | 0.94 ",irrelevant,
TEST | METHOD | SPECIFICATION ,header,
40 | 3.7 | 0.8839 | 2.0 ,irrelevant,
Additional Properties (compiled from supplier data) | Additional Properties (compiled from supplier data) |  ,irrelevant,
Vapor pressure@ 20°C |  | 0.07 mmHg,irrelevant,
Diethylene Glycol Butyl Ether | 99.1 |  |  |  |  | 99.0 | 99.0 | weight % ,irrelevant,
"Explosion limits |  | 0,7 - 7,0 vol.% ",irrelevant,
Density @ 15oC: | 0.955 | 0.958 | g/cm3 | Calculated ,irrelevant,
Density at 20 °C (DIN 51 757 method D) | g/cm3 | 0.920 – 0.922 ,irrelevant,
 | 400 mm Hg | @ 183° C :selected:,irrelevant,
Density at 20°C | (ASTM D 4052) : | 0.865 – | 0.865 – | 0.871 kg/liter ,irrelevant,
Net heat of combustion (kJ/g) — predicted @ 25°C |  | 24.7,irrelevant,
Test Description | Test Result | 30 JUL SH | Specifications Minimum Maximum | Specifications Minimum Maximum | Unit of Measure ,irrelevant,
Toluene | 3.9 ,irrelevant,
Wt % Water | 44 wt % ,irrelevant,
Evaporation Rate | Evaporation Rate,irrelevant,
Color | Colorless ,irrelevant,
Colour (Pt‐Co) : | 25 max D1209,irrelevant,
"Acidity, as acetic acid D1613 | 0.001 |  |  | 0.010 | weight % ",Acid content,
Distillati on range | °C | ASTM D 86 |  ,Boiling point,
Bolling range at 1013 mbar | 153 - 156 ℃,Boiling point,
CONCENTRATION | CONCENTRATION | CONCENTRATION,irrelevant,
Fractional Polarity | - | - | 0.123 ,irrelevant,
CAS # | 98-56-6,irrelevant,
Appearance | Clear Colorless Liquid,irrelevant,
 | Antoine Constants: Temperature range °C | Antoine Constants: Temperature range °C | - | +40 to +105 ,irrelevant,
"Appearance | Colorless, transparent liquid, no mechanical impurity | Colorless, transparent liquid, no mechanical impurity ",irrelevant,
Non-Aromatics Content | ASTM D2360 | Vol % | 4.0 Max ,irrelevant,
Polar | 2.2 ,irrelevant,
Dielectric Constant @20°C | - | - | 2.15 ,irrelevant,
"AGUA, %, máx. Water content, %, max. | 0,2 ",Water Content,
Flashpoint (CC) | : 94 ºC ,Flash point,
Appearance | Clear & Bright | Visual ,irrelevant,
@ 20°C | 27.9 dynes/cm ,irrelevant,
Boiling Range | °C | 290 ‐ 310 ,Boiling point,
Critical Pressure | 47 ATM,irrelevant,
Critical volume [cm3/g] | 3.23 ,irrelevant,
Boiling point | 476.1°F | 246.7°C,Boiling point,
Ignition temperature | ASTM D 2155 | C | 450 ,irrelevant,
"Fume Point, mm | 23 | ASTM D 1322 ",irrelevant,
5 | Melting point | -98.9°C ,irrelevant,
Flash Point | ASTM D56 | TCC ºC | 25 Min ,Flash point,
Kauri-Butanol Value | - | ASTM D1133 | 33 ,irrelevant,
"Color, Pt-Co | ASTM D1209 | 15 Max ",irrelevant,
Non-volatile components Ethanol | Non-volatile components Ethanol,irrelevant,
