id,data,label
35508,"1DIN EN ISO 3219 (23 °C, 100 1/s) | --",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35509,-- | -- | --,irrelevant
35510,Solid content | DIN EN ISO 3251 | 46.5 - 48.5 %,Solid content | Solids | NV | NVM | Non-volatiles
35511,pH value | DIN ISO 976 (23 °C) | 7.5 - 9.0,pH
35512,"Viscosity, dynamic | DIN EN ISO 3219 (23 °C, 100 1/s) | 100 - 450 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35513,-- | --,irrelevant
35514,Solids Content | ca. 48%,Solid content | Solids | NV | NVM | Non-volatiles
35515,pH Value | ca. 7.5–9.0,pH
35516,Viscosity1 | ca. 100–450 mPa·s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35517,Average Particle Size | ca. 0.09 µm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35518,MFFT | <3 °C,MFFT | MFT
35519,Specific Gravity (wet polymer) | ca. 1.04 g/cm3,Density | Specific gravity
35520,Specific Gravity (dry polymer) | ca. 1.09 g/cm3,Density | Specific gravity
35521,-- | -- | -- | -- | --,irrelevant
35522,Non-volatiles | 22 - 26 | % | 1G ** | 3251,Solid content | Solids | NV | NVM | Non-volatiles
35523,"Acid value (as such) | 3,5 - 5.2 | mg KOH/g | 303A | 3682",Acid value | COOH value | Acid equivalent | pKa | Acid content
35524,Viscosity (23 ℃ ) at 500 s- | 0.20 - 0.35 | Pa.s | 12K *** | ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35525,Viscosity (23ºC) at 1 5-1 | 30 - 60 | Pa.$ | 12K *** | ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35526,Particle size | 180 - 255 | nm | 16A | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35527,-- | -- | -- | --,irrelevant
35528,Acid value (as such) | 3.5 - 5.2 mg KOH/g | 303A | 3682,Acid value | COOH value | Acid equivalent | pKa | Acid content
35529,Non-Volatiles | 22 - 26 % | 001G | 3251,Solid content | Solids | NV | NVM | Non-volatiles
35530,Particle size | 180 - 260 nm | 016A | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35531,"Viscosity flowcurve C&P (23°C, 1 s-1) | 50 - 80 Pa.s | 012E | ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35532,"Viscosity flowcurve C&P (23°C, 500 s-1) | 0.30 - 0.50 Pa.s | 012E | ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35533,pH | 6.0 - 8.0 | 007A | ,pH
35534,-- | -- | -- | --,irrelevant
35535,Acid value (as such) | 3.5 - 5.2 mg KOH/g | 303A | 3682,Acid value | COOH value | Acid equivalent | pKa | Acid content
35536,Non-Volatiles | 22 - 26 % | 001G | 3251,Solid content | Solids | NV | NVM | Non-volatiles
35537,Particle size | 180 - 260 nm | 016A | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35538,pH | 6.0 - 8.0 | 007A | ,pH
35539,"Viscosity Clearbase (23°C, 1 s-1) | 50 - 80 Pa.s | 012K | ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35540,"Viscosity Clearbase (23°C, 500 s-1) | 0.30 - 0.50 Pa.s | 012K | ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35541,-- | -- | -- | --,irrelevant
35542,"Non-volatile, by weight. | 24 ± 2 | % | SDM 1 – 1",Solid content | Solids | NV | NVM | Non-volatiles
35543,"Viscosity, Clearbase (77°F, 1s-1 ): | 50 - 80 | Pa.s | STM 012K",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35544,"Viscosity, Clearbase (77°F, 500s-1): | 0.3 – 0.5 |--| ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35545,Acid value (as such) | 3.5 - 5.2 | mg KOH/g | SDM 5 – 1,Acid value | COOH value | Acid equivalent | pKa | Acid content
35546,pH | 6.0 – 8.0 |--| SDM 8 – 1,pH
35547,-- | -- | -- | --,irrelevant
35548,"Non-volatiles, by weight | 44.0 + 1.0 | % | 1-1",Solid content | Solids | NV | NVM | Non-volatiles
35549,"Viscosity, Brookfield RVT, #3 @ 50 rpm | 400 - 1000 | cps | 2-2",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35550,pH value | 8.6 - 9.2 |--| 8 -1,pH
35551,-- | --,irrelevant
35552,Solids content | 45.5 – 46.5 %,Solid content | Solids | NV | NVM | Non-volatiles
35553,pH | 8.0 – 8.5,pH
35554,"Brookfield LV Viscosity (spindle 3, 60 rpm) | < 1500 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35555,Minimum Film Formation Temperature | 18 °C ~,MFFT | MFT
35556,Specific gravity (wet polymer) | 1.06 g/cm3,Density | Specific gravity
35557,-- | -- | -- | --,irrelevant
35558,Grind |--|  | ,irrelevant
35559,Water | 10.0 | 10.0 | ,irrelevant
35560,Propylene Glycol | 50.0 | 48.3 | ,irrelevant
35561,Orotan™ 681 (35%) | 12.0 | 11.0 | ,irrelevant
35562,Byk®- 022 1 | 2.5 | 2.5 | ,irrelevant
35563,Ti-Pure® R-706 2 | 212.0 | 53.0 | 18.7%,irrelevant
35564, | Grind Sub-total 286.5 | 124.8 | ,irrelevant
35565,Premix |--|  | ,irrelevant
35566,Ethyl Carbitol | 20.0 | 20.2 | ,irrelevant
35567,Dowanol DPnB 3 | 13.0 | 14.2 | ,irrelevant
35568,Let Down |--|  | ,irrelevant
35569,Primal™ EP-2596 (46%) | 560.0 | 528.3 | ,irrelevant
35570,Acrysol™ RM 2020 (20%) | 44.0 | 42.2 | ,irrelevant
35571,Acrysol™ RM-8W (21.5%) | 8.0 | 7.7 | ,irrelevant
35572,Triton™ GR-7M 3 | 1.0 | 1.0 | ,irrelevant
35573,Water | 65.0 | 65.0 | ,irrelevant
35574,Vertec AT-23 4 | 2.5 | 2.7 | ,irrelevant
35575,"Totals | 1,000.0 | 806.1 | 18.7%",irrelevant
35576,-- | -- | -- | --,irrelevant
35577,Grind |--|  | ,irrelevant
35578,Water | 55.9 | 55.9 | ,irrelevant
35579,Propylene Glycol | 47.8 | 46.1 | ,irrelevant
35580,Orotan™ 1124 (50%) | 5.3 | 4.5 | ,irrelevant
35581,Byk®- 022 1 | 3.8 | 3.8 | ,irrelevant
35582,Tioxide RCT90 2 | 165.8 | 40.4 | 15.4%,irrelevant
35583,Finntalc M-15 3 | 28.7 | 10.6 | 4.0%,irrelevant
35584,Durcal 2 3 | 38.2 | 13.9 | 5.3%,irrelevant
35585, | Grind Sub-total 345.5 | 175.2 | ,irrelevant
35586,Premix |--|  | ,irrelevant
35587,Water | 28.7 | 28.7 | ,irrelevant
35588,Dowanol DPnB 4 | 11.5 | 12.6 | ,irrelevant
35589,Let Down |--|  | ,irrelevant
35590,Primal™ EP-2596 (46%) | 406.4 | 383.4 | ,irrelevant
35591,Ropaque™ Ultra E (30%) | 63.1 | 61.6 | 12.3%,irrelevant
35592,Acrysol™ RM 2020 (20%) | 38.2 | 36.6 | ,irrelevant
35593,Acrysol™ RM-8W (21.5%) | 8.1 | 7.8 | ,irrelevant
35594,Triton™ GR-7M 4 | 1.0 | 1.0 | ,irrelevant
35595,Water | 95.0 | 95.0 | ,irrelevant
35596,Vertec AT-23 5 | 2.5 | 2.7 | ,irrelevant
35597,"Totals | 1,000.0 | 804.6 | 37.0%",irrelevant
35598,-- | --,irrelevant
35599,Appearance | White to bluish,irrelevant
35600,Solids content % | 47–49%,Solid content | Solids | NV | NVM | Non-volatiles
35601,pH | 8.5 – 9.0,pH
35602,"Brookfield viscosity (spindle 2, 20 rpm) | 300 –1000 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35603,Minimum Film Formation Temperature | 54 – 56 °C,MFFT | MFT
35604,"Specific gravity (wet) | 1,07 g/cm3",Density | Specific gravity
35605,"Specific gravity (dry) | 1,10 g/cm3",Density | Specific gravity
35606,-- | -- | -- | -- | --,irrelevant
35607,(DIN ISO 1625; 2 h; 105°C) | % | 46 | ± | 1,Solid content | Solids | NV | NVM | Non-volatiles
35608,Viscosity |--|  |--| ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35609,(DIN EN ISO 2555; spindle nr. 4; 20 rpm; 23°C) | mPa.s | 2 500 | ± | 1 500,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35610,Brookfield viscometer RVT pH value |--|  |--| ,multi-label
35611,(DIN ISO 976) |--| 7.5 | ± | 0.5,pH
35612,-- | -- | --,irrelevant
35613,Dispersion |--| ,irrelevant
35614,Particle size |--| ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35615,(Measured with “Light Scattering Technique“) | µm | approx. 0.1,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35616,Minimum film formation temperature (MFT) (DIN ISO 2115) | °C | approx. 0,MFFT | MFT
35617,Density |--| ,Density | Specific gravity
35618,(SS-ISO 1675) | g/cm3 | approx. 1.04,Density | Specific gravity
35619,-- | --,irrelevant
35620,Solids Content | ca. 50%,Solid content | Solids | NV | NVM | Non-volatiles
35621,pH Value | ca. 7.5–9.0,pH
35622,Viscosity1 | ca. 100–400 mPa·s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35623,Average Particle Size | ca. 0.1 µm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35624,MFFT | ca. 17 °C,MFFT | MFT
35625,Specific Gravity (wet polymer) | ca. 1.04 g/cm3,Density | Specific gravity
35626,Specific Gravity (dry polymer) | ca. 1.08 g/cm3,Density | Specific gravity
35627,"1DIN EN ISO 3219 (23 °C, 100 1/s) | --",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35628,-- | -- | --,irrelevant
35629,Type | -- | Acrylic Styrene Emulsion Polymer,irrelevant
35630,Solids | -- | 47.5 + 0.5%,Solid content | Solids | NV | NVM | Non-volatiles
35631,"Viscosity (Brookfield Model DV+) | -- | 500 + 200 cps, #3/100 rpm/Ambient Temperature",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35632,PH | -- | 5.5 - 6.0,pH
35633,Tg (MDSC) | -- | 50 ℃,Tg
35634,MFFT (ASTM D-235) | -- | 42º ℃,MFFT | MFT
35635,Particle Size (Mean) | -- | 0.09 - 0.12 microns,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35636,Particle Charge | -- | Anionic,irrelevant
35637,Weight per Gallon | -- | 8.79,Density | Specific gravity
35638,Bulking Value | -- | 0.1138 gal/lb,doubt
35639,Freeze Thaw Stability | -- | Do Not Freeze,irrelevant
35640,-- | --,irrelevant
35641,Solids content | approx. 57%,Solid content | Solids | NV | NVM | Non-volatiles
35642,pH | approx. 7–9,pH
35643,Viscosity | approx.,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35644,-- | 140–200 mPa∙ s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35645,Glass transition temperature | approx. –8 °C,Tg
35646,-- | ,irrelevant
35647,MFFT | approx. 0 °C,MFFT | MFT
35648,-- | --,irrelevant
35649,"% solids, by weight | 50",Solid content | Solids | NV | NVM | Non-volatiles
35650,pH (as packed) | 8.5,pH
35651,"Density (lbs/gal), wet | 8.70",Density | Specific gravity
35652,"Bulking value, wet | 0.1152",doubt
35653,"Bulking value, dry | 0.1103",irrelevant
35654,"Tg, ºC | 20",Tg
35655,"MFFT, ºC | 25",MFFT | MFT
35656,"Viscosity, cps | 500",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35657,Storage Precautions | Protect from Freezing,irrelevant
35658,-- | -- | --,irrelevant
35659,Physical Properties |--| ,irrelevant
35660,KU | 110 | 100,irrelevant
35661,ICI | 1.3 | 1.3,irrelevant
35662,pH | 8.9 | 9.1,pH
35663,Thickening cost (RM-5 and TT-935) |--| ,irrelevant
35664,"Thickening cost, cents per gal | 22 | 28",irrelevant
35665,"Thickening cost, cents per liter | 5.8 | 7.4",irrelevant
35666,"Gloss, 60º | 30 | 29",irrelevant
35667,Efflorescence Resistance | 10 | 10,irrelevant
35668,"Blister Resistance vinyl, 2 hr dry | 10 | 9",irrelevant
35669,Scrub Resistance (cycles) | 600 | 200,irrelevant
35670,Contrast Ratio (3 mils) | 96.0 | 96.0,irrelevant
35671,-- | -- | -- | -- | --,irrelevant
35672,Physical Properties KU | 103 | 97 | 106 | 108,irrelevant
35673,ICI | 1.0 | 1.1 | 0.6 | 1.0,irrelevant
35674,Thickening cost |--|  |--| ,irrelevant
35675,cents per gallon | 60 | 63 | 17 | 23,irrelevant
35676,cents per liter | 15.9 | 16.6 | 4.5 | 6.1,irrelevant
35677,Blister Resistance (10=no blisters) | 10 | 8 | 5 | 0,irrelevant
35678,"Scrub Rating (1-10, 10=best) | 8 | 7 | 7 | 2",irrelevant
35679,Contrast Ratio | 96.8 | 96.8 | 97.0 | 96.6,irrelevant
35680,-- | -- | -- | --,irrelevant
35681,Grind |--|  | ,irrelevant
35682,Water | 60.00 | 60.00 | ,irrelevant
35683,Tamol 731A | 10.11 | 9.16 | 0.77% Disp,irrelevant
35684,Propylene Glycol | 21.55 | 20.81 | ,irrelevant
35685,Surfynol CT-111 | 2.50 | 2.63 | ,irrelevant
35686,Foamaster AP | 3.60 | 3.90 | ,irrelevant
35687,Ti-Pure R-902 | 270.00 | 67.50 | 22.42% PVC,irrelevant
35688,Calcium Carbonate | 24.00 | 8.88 | 2.95% PVC,irrelevant
35689,Calcined Clay | 36.00 | 13.68 | 4.55% PVC,irrelevant
35690,Grind Sub-total | 427.77 | 186.56 | ,irrelevant
35691,LetDown |--|  | ,irrelevant
35692,Water | 23.95 | 23.95 | ,irrelevant
35693,EXP-3713 | 448.01 | 430.83 | ,irrelevant
35694,Dowanol PPh | 22.40 | 21.05 | 10.00% Coal,irrelevant
35695,Foamaster AP | 1.20 | 1.30 | ,irrelevant
35696,Mineral Spirits | 11.97 | 15.24 | 5.35% Coal,irrelevant
35697,Ammonia (28%) | 11.97 | 12.97 | ,irrelevant
35698,Acrysol RM-5 | 23.95 | 22.59 | ,irrelevant
35699,Acrysol TT-935 | 4.79 | 4.52 | ,irrelevant
35700,Water | 281.00 | 281.00 | ,irrelevant
35701,-- | -- | -- | --,irrelevant
35702,Grind |--|  | ,irrelevant
35703,Water | 360.00 | 360.00 | ,irrelevant
35704,Tamol 731A | 13.42 | 12.16 | 0.50% Disp,irrelevant
35705,KTPP | 2.85 | 1.49 | 0.42% Disp,irrelevant
35706,Natrosol 250 HBR | 3.59 | 2.76 | ,irrelevant
35707,Nopco NXZ | 2.39 | 2.63 | ,irrelevant
35708,Ti-Pure R-902 | 96.00 | 24.00 | 7.99% PVC,irrelevant
35709,Calcium Carbonate | 315.00 | 116.55 | 38.83% PVC,irrelevant
35710,Clay | 215.00 | 83.33 | 27.74% PVC,irrelevant
35711,Talc | 45.00 | 16.13 | 5.37% PVC,irrelevant
35712,Grind Sub-total | 1053.26 | 619.05 | ,irrelevant
35713,LetDown EXP-3713 | 128.11 | 123.20 | ,irrelevant
35714,Texanol | 9.61 | 10.11 | 15.00% Coal,irrelevant
35715,Nopco NXZ | 1.20 | 1.32 | ,irrelevant
35716,Acrysol RM-2020 NPR | 47.90 | 45.94 | ,irrelevant
35717,Ammonia (28%) | 0.60 | 0.65 | ,irrelevant
35718,Premix |--|  | ,irrelevant
35719,Natrosol 250 HBR | 3.23 | 2.49 | ,irrelevant
35720,Water | 104.54 | 104.54 | ,irrelevant
35721,Premix Sub-total | 107.77 | 107.03 | ,irrelevant
35722,Water | 92.71 | 92.71 | ,irrelevant
35723,-- | -- | -- | --,irrelevant
35724,Grind |--|  | ,irrelevant
35725,Water | 240.00 | 240.00 | ,irrelevant
35726,Tamol 1254 | 9.56 | 7.81 | 0.50% Disp,irrelevant
35727,KTPP | 2.85 | 1.48 | 0.42% Disp,irrelevant
35728,Nopco NXZ | 2.39 | 2.63 | ,irrelevant
35729,Ti-Pure R-902 | 95.00 | 23.75 | 7.91% PVC,irrelevant
35730,Calcium Carbonate | 315.00 | 116.55 | 38.86% PVC,irrelevant
35731,Clay | 215.00 | 83.33 | 27.76% PVC,irrelevant
35732,Talc | 45.00 | 16.13 | 5.37% PVC,irrelevant
35733,Grind Sub-total | 924.80 | 491.68 | ,irrelevant
35734,LetDown |--|  | ,irrelevant
35735,EXP-3713 | 128.11 | 123.20 | ,irrelevant
35736,Texanol | 9.61 | 10.11 | 15.00% Coal,irrelevant
35737,Nopco NXZ | 1.20 | 1.32 | ,irrelevant
35738,Acrysol RM-5 | 8.02 | 7.57 | ,irrelevant
35739,Acrysol DR-73 | 17.96 | 16.90 | ,irrelevant
35740,Ammonia (28%) | 0.60 | 0.65 | ,irrelevant
35741,Water | 348.58 | 348.58 | ,irrelevant
35742,-- | --,irrelevant
35743,Solids content by weight % | 30,Solid content | Solids | NV | NVM | Non-volatiles
35744,Solids content by volume % | 52.1,Solid content | Solids | NV | NVM | Non-volatiles
35745,Specific gravity of Latex at 25°C | 1.025,Density | Specific gravity
35746,Specific gravity of dry polymer at 25°C | 0.591,Density | Specific gravity
35747,pH | 8.0–8.7,pH
35748,Average particle size | 0.40 µm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35749,Void fraction | 44%,irrelevant
35750,"Brookfield Viscosity (60 min-1, Spindle #2) | <500 mPa⋅s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35751,-- | -- | --,irrelevant
35752,TiO2 PVC | 20.0 | 16.0,irrelevant
35753,Micro Mica PVC | 12.0 | 11.0,irrelevant
35754,ULTRA E PVC | 0.0 | 11.0,irrelevant
35755,Total PVC | 32.0 | 38.0,irrelevant
35756,Total VS | 35.0 | 35.0,irrelevant
35757,Tint Strength |--| ,irrelevant
35758,Blue | 33.6 | 34.0,irrelevant
35759,Yellow | 63.9 | 64.7,irrelevant
35760,Grey | 36.4 | 37.4,irrelevant
35761,Gloss 20° | 5.4 | 5.4,irrelevant
35762,Gloss 60° | 34.6 | 33.7,irrelevant
35763,Gloss 80° | 79.1 | 78.7,irrelevant
35764,-- | --,irrelevant
35765,TiO2 | Reduce TiO2 by 15–30% of its initial PVC,irrelevant
35766,ROPAQUE™ ULTRA E Opaque | Introduce ROPAQUE ULTRA E Opaque Polymer 3–4 times the PVC of TiO2 Removed,irrelevant
35767,Polymer Extenders | Adjust extenders so that total PVC is 4–6 PVC higher than the original paint. Generally reduce fine extenders and adjust total PVC with the large extenders,irrelevant
35768,Dispersant | Adjust dispersant level keeping it constant on total pigment and extenders,irrelevant
35769,Coalescent | Adjust coalescent level keeping it constant on binder and ROPAQUE ULTRA E Opaque Polymer solids,irrelevant
35770,Other ingredients | All other ingredients should remain constant per liter of paint. The volume solids is constant,irrelevant
35771,-- | --,irrelevant
35772,Gloss and sheen increase | Adjust large/fine extenders ratio decreasing the fine extenders,irrelevant
35773,"Wet hiding decrease | Adjust TiO2/ ROPAQUE ULTRA E Opaque Polymer ratio, increasing the amount of TiO2",irrelevant
35774,Dry hiding adjustment | Adjust TiO2/ ROPAQUE ULTRA E Opaque Polymer ratio and play on extenders package,irrelevant
35775,Scrub resistance decrease | Limit total PVC increase to 3%,irrelevant
35776,-- | --,irrelevant
35777,"Appearance | Opaque, white to off-white liquid",irrelevant
35778,"Solids, by weight, % | 30.0",Solid content | Solids | NV | NVM | Non-volatiles
35779,"Solids, by volume, % | 52.1",Solid content | Solids | NV | NVM | Non-volatiles
35780,"Density (g/ml), wet | 1.025",Density | Specific gravity
35781,"Density (g/ml), dry | 0.591",Density | Specific gravity
35782,pH | 8.4,pH
35783,"Average particle size, µm | 0.4",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35784,"Void fraction, % | 44",irrelevant
35785,"Viscosity (Brookfield LV #2, 60 rpm), cps | < 350 cps",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35786,Storage precautions | Protect from freezing,irrelevant
35787,-- | -- | --,irrelevant
35788,TiO2 PVC | 20.0 | 16.0,irrelevant
35789,Micro Mica PVC | 12.0 | 11.0,irrelevant
35790,ROPAQUE™ ULTRA-E PVC | 0.0 | 11.0,irrelevant
35791,Total PVC | 32.0 | 38.0,irrelevant
35792,Total VS | 35.0 | 35.0,irrelevant
35793,Tint Strength |--| ,irrelevant
35794,Blue | 33.6 | 34.0,irrelevant
35795,Yellow | 63.9 | 64.7,irrelevant
35796,Grey | 36.4 | 37.4,irrelevant
35797,Gloss 20° | 5.4 | 5.4,irrelevant
35798,Gloss 60° | 34.6 | 33.7,irrelevant
35799,-- | --,irrelevant
35800,TiO2 | Reduce TiO2 by 15–30% of its initial PVC,irrelevant
35801,ROPAQUE™ ULTRA-E Opaque Polymer | Introduce ROPAQUE ULTRA-E Opaque Polymer 3–4 times the PVC of TiO2 removed,irrelevant
35802,Extenders | Adjust extenders so that total PVC is 4–6 PVC higher than the original paint. Generally reduce fine extenders and adjust total PVC with the large extenders,irrelevant
35803,Dispersant | Adjust dispersant level keeping it constant on total pigment and extenders,irrelevant
35804,Coalescent | Adjust coalescent level keeping it constant on binder and ROPAQUE ULTRA-E Opaque Polymer solids,irrelevant
35805,Other ingredients | All other ingredients should remain constant per liter of paint. The volume solids is constant,irrelevant
35806,-- | --,irrelevant
35807,Gloss and sheen increase | Adjust large/fine extenders ratio decreasing the fine extenders,irrelevant
35808,"Wet hiding decrease | Adjust TiO2 / ROPAQUE™ ULTRA-E Opaque Polymer ratio, increasing the amount of TiO2",irrelevant
35809,Dry hiding adjustment | Adjust TiO2 / ROPAQUE ULTRA-E Opaque Polymer ratio and play on extenders package,irrelevant
35810,Scrub resistance decrease | Limit total PVC increase to 3%,irrelevant
35811,-- | --,irrelevant
35812,MFFT / Tg | °C,multi-label
35813,Solids content | 29.5 … 30.5 %,Solid content | Solids | NV | NVM | Non-volatiles
35814,pH | 8.0 … 8.7,pH
35815,Density | 0.98 … 1.07 g/cm3,Density | Specific gravity
35816,"Viscosity (Brookfield LV, spindle 2 @ 60 rpm, 25°C) | max. 350 mPa·s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35817,(These properties are typical but should not be considered specifications). | -- | --,irrelevant
35818,Percent Solids |--| ,Solid content | Solids | NV | NVM | Non-volatiles
35819, | Wet | 30.0,irrelevant
35820, | Volume | 52.1,irrelevant
35821,pH |--| 8–8.7,pH
35822,"Density, lbs/gal |--| 8.56",Density | Specific gravity
35823,-- | Wet | --,irrelevant
35824,-- | Dry | 4.93,irrelevant
35825,"Density, g/cm | Wet | 1.025",Density | Specific gravity
35826,-- | Dry | 0.591,irrelevant
35827,"Bulking Value, gal/lb Wet Dry | -- | ",doubt
35828,-- | -- | 0.117,irrelevant
35829,-- | -- | 0.203,irrelevant
35830,"Viscosity, cP (60 s–1; #2 Spindle) | -- | <500",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35831,"Average Particle Size, Microns | -- | 0.40",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35832,(These properties are typical but should not be considered specifications). | -- | --,irrelevant
35833,Percent Solids |--| ,Solid content | Solids | NV | NVM | Non-volatiles
35834, | Wet | 30.0,irrelevant
35835, | Volume | 52.1,irrelevant
35836,pH |--| 8–8.7,pH
35837,"Density, lbs/gal |--| 8.56",Density | Specific gravity
35838,-- | Wet | --,irrelevant
35839,-- | Dry | 4.93,irrelevant
35840,"Density, g/cm | Wet | 1.025",Density | Specific gravity
35841,-- | Dry | 0.591,irrelevant
35842,"Bulking Value, gal/lb Wet Dry | -- | ",doubt
35843,-- | -- | 0.117,irrelevant
35844,-- | -- | 0.203,irrelevant
35845,"Viscosity, cP (60 s–1; #2 Spindle) | -- | <500",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35846,"Average Particle Size, Microns | -- | 0.40",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35847,Received Typical Physical Properties | --,irrelevant
35848,(Not to be used as specifications) | --,irrelevant
35849,Solids content by weight % | 30,Solid content | Solids | NV | NVM | Non-volatiles
35850,Solids content by volume % | 52.1,Solid content | Solids | NV | NVM | Non-volatiles
35851,Specific gravity of Latex at 25°C | 1.025g/cm3,Density | Specific gravity
35852,Specific gravity of dry polymer at 25°C | 0.591g/cm3,Density | Specific gravity
35853,pH | 8.0 - 8.7,pH
35854,Average particle size | 0.38 µm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
35855,Void fraction | 44%,irrelevant
35856,"Brookfield Viscosity (60 min-1, Spindle #2) | < 500 mPa⋅s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35857,-- | -- | -- | -- | -- | -- | --,irrelevant
35858,TiO2 (%PVC) | 19.0 | 16.0 | 16.0 | 15.4 | 14.8 | 14.2,irrelevant
35859,Hydrocarb (%PVC) | 12.0 | 7.0 | 7.0 | 7.0 | 7.0 | 7.0,irrelevant
35860,Opaque Polymer (%PVC) | 0.0 | 12.0 | 12.0 | 12.6 | 13.2 | 13.8,irrelevant
35861,Tint Strength | 50.0 | 50.7 | 51.0 | 50.8 | 50.6 | 50.4,irrelevant
35862,Gloss 20° | 4.7 | 5.3 | 6.5 | 6.3 | 6.2 | 6.5,irrelevant
35863,Gloss 60° | 31.0 | 33.1 | 35.3 | 34.9 | 34.5 | 35.4,irrelevant
35864,Gloss 85° | 78.5 | 78.8 | 2011 79.1 | 79.5 | 79.9 | 80.1,irrelevant
35865,Medium Shear |--|  |--|  |--| ,irrelevant
35866,Viscosity in Krebs | 84 | 78 | 80 |--|  | 86,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35867,Units/KU after 24h |--|  |--|  |--| ,irrelevant
35868,High Shear |--|  |--|  |--| ,irrelevant
35869,Viscosity (ICI) | 2.0 | OCT 2.1 SH | 2.2 |--|  | 2.1,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
35870,-- | -- | -- | --,irrelevant
35871,Protocol |--| 0% | 7%,irrelevant
35872,TiO2 (%PVC) | 19.0 | 16.0 | 15.2,irrelevant
35873,Hydrocarb (%PVC) | 12.0 | 7.0 | 7.0,irrelevant
35874,Opaque Polymer (%PVC) | 0.0 | 12.0 | 12.8,irrelevant
35875,Tint Strength |--|  | ,irrelevant
35876,Blue | 33.6 | 34.0 | 34.0,irrelevant
35877,Yellow | 63.9 | 64.7 | 64.8,irrelevant
35878,Grey | 36.4 | 37.4 | 37.5,irrelevant
35879,Gloss 20° | 5.4 | 5.4 | 6.7,irrelevant
35880,Gloss 60° | 34.6 | 33.7 | 35.4,irrelevant
35881,Gloss 85° | 79.1 | 78.7 | 79.9,irrelevant
35882,Costs in Euro/litre | 1.612 | 1.489 | 1.470,irrelevant
